mssv,ngaythi,url,loaixn,tongdiem,ngay_xet_loai,thoi_gian_nop_bang,ket_qua_xet_loai,year,month,day
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna,2020-07-18,bangcap/16521119/16521119_bangcap_VNU-EPT_20200819111750.jpeg,VNU-EPT,262.0,2020-09-20 21:13:57.343387471,2020-08-19,,2020,9,20
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,2011-07-26,bangcap/14520881/14520881_bangcap_TOEIC_LR_20190311182140.jpg,TOEIC_LR,670.0,2019-04-12 15:11:33.000000000,2019-03-11,,2019,4,12
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,2011-07-26,bangcap/14520881/14520881_bangcap_TOEIC_SW_20190311182540.png,TOEIC_SW,220.0,2019-04-12 21:13:57.343387471,2019-03-11,,2019,4,12
00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8,2019-04-06,bangcap/15520978/15520978_bangcap_VNU-EPT_20191213101915.jpg,VNU-EPT,202.0,2020-01-03 14:12:42.000000000,2019-12-13,,2020,1,3
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,2021-04-17,bangcap/15520386/15520386_bangcap_TOEIC_SW_20210505175046.png,TOEIC_SW,205.0,2021-05-17 15:18:49.000000000,2021-05-05,,2021,5,17
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,2020-08-16,bangcap/15520386/15520386_bangcap_TOEIC_LR_20210503195549.jpg,TOEIC_LR,510.0,2021-05-27 16:17:45.000000000,2021-05-03,,2021,5,27
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,2020-09-30,bangcap/17520463/17520463_bangcap_TOEIC_LR_20210112084215.jpg,TOEIC_LR,770.0,2021-02-13 21:13:57.343387471,2021-01-12,,2021,2,13
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/15520505/15520505_chungchi_NHAT_20181008095214.jpg,NHAT,,2018-12-05 08:47:03.000000000,2018-10-08,đạt chuẩn,2018,12,5
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520571/17520571_chungchi_TOEIC_LR_20181219092653.jpg,TOEIC_LR,575.0,2019-01-10 15:38:56.000000000,2018-12-19,,2019,1,10
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,2020-11-19,bangcap/18521053/18521053_bangcap_TOEIC_LR_20201130112808.jpg,TOEIC_LR,600.0,2021-01-01 21:13:57.343387471,2020-11-30,,2021,1,1
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,2021-05-07,bangcap/16521053/16521053_bangcap_TOEIC_LR_20210518090119.jpg,TOEIC_LR,480.0,2021-05-27 16:17:45.000000000,2021-05-18,,2021,5,27
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP,2018-12-29,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/16520973/16520973_chungchi_TOEIC_LR_20200722142141.jpg,TOEIC_LR,570.0,2020-08-22 11:09:15.000000000,2020-07-22,,2020,8,22
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP,2021-04-17,bangcap/16520973/16520973_bangcap_TOEIC_SW_20210508212805.png,TOEIC_SW,245.0,2021-05-17 16:01:03.000000000,2021-05-08,,2021,5,17
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k,2021-01-20,bangcap/19521978/19521978_bangcap_TOEIC_LR_20210206113953.jpg,TOEIC_LR,845.0,2021-03-10 21:13:57.343387471,2021-02-06,,2021,3,10
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,2019-12-14,bangcap/15520765/15520765_bangcap_VNU-EPT_20200610203649.jpg,VNU-EPT,225.0,2020-07-08 09:38:46.000000000,2020-06-10,,2020,7,8
037AAE6FXPvAibaEXe8ZCBSJNuktiCdU6dkKR988,2019-05-25,bangcap/18521681/18521681_bangcap_TOEIC_LR_20190608154946.jpg,TOEIC_LR,560.0,2019-07-01 11:11:40.000000000,2019-06-08,,2019,7,1
03816B23XPvAibaEXe/1Yakz2BGJTcBso5ZBcYrz,2020-09-30,bangcap/19521110/19521110_bangcap_TOEIC_LR_20201026083657.jpg,TOEIC_LR,910.0,2020-11-27 21:13:57.343387471,2020-10-26,,2020,11,27
03CB8DC4XPvAibaEXe+4XPPXlKRz0LWy5kJsvBRv,2020-08-15,bangcap/15520923/15520923_bangcap_VNU-EPT_20200909230919.png,VNU-EPT,202.0,2020-09-10 09:35:02.000000000,2020-09-09,,2020,9,10
03CB8DC4XPvAibaEXe+4XPPXlKRz0LWy5kJsvBRv,2020-08-15,bangcap/15520923/15520923_bangcap_VNU-EPT_20201026145440.jpg,VNU-EPT,202.0,2020-10-27 14:49:34.000000000,2020-10-26,,2020,10,27
03ECE99EXPvAibaEXe8NoNh54Mn6M+2xXKb+BCMr,2020-02-10,bangcap/15520525/15520525_bangcap_TOEIC_LR_20200529133100.jpg,TOEIC_LR,605.0,2020-06-08 11:02:56.000000000,2020-05-29,,2020,6,8
03F0FDF5XPvAibaEXe81r7KrCH0uc/DWUtJIS0l8,2018-12-29,bangcap/17521316/17521316_bangcap_TOEIC_LR_20190221171409.jpg,TOEIC_LR,375.0,2019-04-12 15:29:14.000000000,2019-02-21,,2019,4,12
03F181B0XPvAibaEXe+7uLWSh9XvQs9BhtrBVBeU,2020-02-20,bangcap/16521157/16521157_bangcap_TOEIC_LR_20200714135952.jpg,TOEIC_LR,710.0,2020-07-23 10:30:31.000000000,2020-07-14,,2020,7,23
047911D8XPvAibaEXe+fPSOag5leTYMAZx0GJa1L,2020-11-01,bangcap/15520730/15520730_bangcap_TOEIC_LR_20201113132613.jpg,TOEIC_LR,455.0,2020-11-18 10:49:29.000000000,2020-11-13,,2020,11,18
04993E46XPvAibaEXe/c+AA7R58MU9q6TAEVnxuT,2020-11-13,bangcap/19520182/19520182_bangcap_TOEIC_LR_20201203202353.jpg,TOEIC_LR,490.0,2021-01-04 21:13:57.343387471,2020-12-03,,2021,1,4
0499BD34XPvAibaEXe8cSwcDAK/pUFr2X7+QevI0,2020-10-22,bangcap/17521196/17521196_bangcap_TOEIC_LR_20201202114212.jpg,TOEIC_LR,550.0,2021-01-03 21:13:57.343387471,2020-12-02,,2021,1,3
0499BD34XPvAibaEXe8cSwcDAK/pUFr2X7+QevI0,2020-12-06,bangcap/17521196/17521196_bangcap_TOEIC_LR_20201219110105.jpg,TOEIC_LR,600.0,2021-01-13 15:41:29.000000000,2020-12-19,,2021,1,13
0499BD34XPvAibaEXe8cSwcDAK/pUFr2X7+QevI0,2021-04-14,bangcap/17521196/17521196_bangcap_TOEIC_SW_20210423173805.png,TOEIC_SW,265.0,2021-05-19 09:56:04.000000000,2021-04-23,,2021,5,19
04B8CFCFXPvAibaEXe/baiw3K4HkF2jQGbVW7zgO,2019-06-16,bangcap/14520727/14520727_bangcap_TOEIC_LR_20190907145519.jpg,TOEIC_LR,490.0,2019-10-22 10:51:35.000000000,2019-09-07,,2019,10,22
04B8CFCFXPvAibaEXe/baiw3K4HkF2jQGbVW7zgO,2019-07-24,bangcap/14520727/14520727_bangcap_TOEIC_SW_20190907144752.png,TOEIC_SW,280.0,2019-10-22 10:51:44.000000000,2019-09-07,,2019,10,22
04C9CC0EXPvAibaEXe/S5mChdnrLm80qIvJ4ryp4,2019-09-29,bangcap/14520033/14520033_bangcap_TOEIC_LR_20191220092408.jpg,TOEIC_LR,665.0,2020-01-03 13:59:33.000000000,2019-12-20,,2020,1,3
04DDFC34XPvAibaEXe8zLanLNVS12W6u8w3Iex7Z,2019-09-19,bangcap/15520708/15520708_bangcap_TOEIC_SW_20200616132814.png,TOEIC_SW,210.0,2020-06-30 11:09:43.000000000,2020-06-16,,2020,6,30
04DDFC34XPvAibaEXe8zLanLNVS12W6u8w3Iex7Z,2020-05-24,bangcap/15520708/15520708_bangcap_TOEIC_LR_20200616132929.jpg,TOEIC_LR,460.0,2020-08-24 09:25:27.000000000,2020-06-16,,2020,8,24
04F87408XPvAibaEXe80b1fr0fH/JuobsigdDkbt,2019-07-30,bangcap/15520764/15520764_bangcap_TOEIC_SW_20190812221314.png,TOEIC_SW,240.0,2019-10-22 10:57:41.000000000,2019-08-12,,2019,10,22
04F87408XPvAibaEXe80b1fr0fH/JuobsigdDkbt,2019-07-28,bangcap/15520764/15520764_bangcap_TOEIC_LR_20190810085027.png,TOEIC_LR,870.0,2019-10-22 10:57:48.000000000,2019-08-10,,2019,10,22
055BAF5DXPvAibaEXe/0VyaRB0LQpI2nprMmUPej,2020-11-09,bangcap/18520606/18520606_bangcap_TOEIC_LR_20201119134332.jpeg,TOEIC_LR,640.0,2020-12-21 21:13:57.343387471,2020-11-19,,2020,12,21
05654038XPvAibaEXe9JdUmjPcaT8qIMCNLlkTTg,2018-08-18,bangcap/13520969/13520969_bangcap_TOEIC_LR_20180908102431.jpg,TOEIC_LR,480.0,2018-10-24 10:41:36.000000000,2018-09-08,,2018,10,24
058F3258XPvAibaEXe+q0E3QguGBpZhJA/lqgre3,2000-07-14,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18520928/18520928_chungchi_TOEIC_LR_20200728145009.jpg,TOEIC_LR,465.0,2020-08-22 10:47:35.000000000,2020-07-28,,2020,8,22
05E17E2BXPvAibaEXe/RTfMBxsNERftZF2fTACpt,2020-08-19,bangcap/19520197/19520197_bangcap_TOEIC_LR_20210302232259.png,TOEIC_LR,420.0,2021-04-03 21:13:57.343387471,2021-03-02,,2021,4,3
05EE77E5XPvAibaEXe+fBpTg8OXousIA2IYzVnHo,2021-04-11,bangcap/17520913/17520913_bangcap_TOEIC_LR_20210424162929.jpg,TOEIC_LR,865.0,2021-05-26 21:13:57.343387471,2021-04-24,,2021,5,26
063FA88DXPvAibaEXe+ItThaeWSaTndzLvy0hCWF,2021-04-24,bangcap/17521281/17521281_bangcap_TOEIC_LR_20210608103608.jpg,TOEIC_LR,655.0,2021-07-10 21:13:57.343387471,2021-06-08,,2021,7,10
0653BDF3XPvAibaEXe9YgNnR0JxPhVp7ceoQS10H,2020-11-15,bangcap/18521076/18521076_bangcap_TOEIC_LR_20201201143919.jpg,TOEIC_LR,420.0,2021-01-02 21:13:57.343387471,2020-12-01,,2021,1,2
06AF4558XPvAibaEXe8eJZh5OyStbMQ0oi5wpMJM,2020-07-12,bangcap/16520707/16520707_bangcap_TOEIC_LR_20200730203711.jpg,TOEIC_LR,920.0,2020-08-13 10:47:48.000000000,2020-07-30,,2020,8,13
06BFA130XPvAibaEXe/+PcSgI7YkeSntP5em9h+w,2018-04-04,bangcap/13520683/13520683_bangcap_TOEIC_LR_20180417170653.png,TOEIC_LR,555.0,2018-06-20 14:13:33.000000000,2018-04-17,,2018,6,20
06CAB726XPvAibaEXe8zi/ZLIzSiuLmD7Jnj+Ekw,2020-05-14,bangcap/19521521/19521521_bangcap_TOEIC_LR_20200528085814.jpg,TOEIC_LR,590.0,2020-07-07 09:38:30.000000000,2020-05-28,,2020,7,7
070648B8XPvAibaEXe//eUaw4J38K1LhhDp5NbpI,2019-01-01,bangcap/15520042/15520042_bangcap_TOEIC_LR_20200521095323.jpg,TOEIC_LR,725.0,2020-06-08 11:06:31.000000000,2020-05-21,,2020,6,8
071ED53EXPvAibaEXe90z1QOLCQ2gtGCVejLRT52,2021-03-18,bangcap/19520166/19520166_bangcap_TOEIC_LR_20210327112540.jpg,TOEIC_LR,475.0,2021-04-28 21:13:57.343387471,2021-03-27,,2021,4,28
073CCB16XPvAibaEXe+Fy1phPq2H8pTMzaqE19dh,2019-05-25,bangcap/18520317/18520317_bangcap_TOEIC_LR_20190619182337.jpg,TOEIC_LR,495.0,2019-07-30 15:18:07.000000000,2019-06-19,,2019,7,30
075CAE0AXPvAibaEXe/7jEMhYBA6GRpJvL6kzgyG,2021-04-08,bangcap/16521668/16521668_bangcap_TOEIC_LR_20210420124435.jpeg,TOEIC_LR,860.0,2021-05-05 15:27:19.000000000,2021-04-20,,2021,5,5
076028C7XPvAibaEXe9KS65t7Tb/qNPAjp/Vir5E,2019-08-10,bangcap/16521124/16521124_bangcap_TOEIC_LR_20200619135338.jpg,TOEIC_LR,665.0,2020-08-24 09:24:48.000000000,2020-06-19,,2020,8,24
07604F47XPvAibaEXe+6MN9FoW2mqQgwnVqNRjxt,2020-08-22,bangcap/13520677/13520677_bangcap_TOEIC_LR_20201015150238.jpg,TOEIC_LR,540.0,2020-10-26 16:06:34.000000000,2020-10-15,,2020,10,26
078D0A90XPvAibaEXe8zjuWfAVBr9RfmtHhE0FTo,2020-07-18,bangcap/16521026/16521026_bangcap_IELTS_20200821102913.jpg,IELTS,5.5,2020-11-17 11:01:41.000000000,2020-08-21,,2020,11,17
078E6C4EXPvAibaEXe+iXJpjy6UOMKV9AJg2HsFJ,2019-07-30,bangcap/14520214/14520214_bangcap_TOEIC_SW_20190915104051.png,TOEIC_SW,215.0,2019-10-22 10:50:45.000000000,2019-09-15,,2019,10,22
078E6C4EXPvAibaEXe+iXJpjy6UOMKV9AJg2HsFJ,2019-04-06,bangcap/14520214/14520214_bangcap_TOEIC_LR_20190915102610.jpg,TOEIC_LR,595.0,2019-10-22 10:50:53.000000000,2019-09-15,,2019,10,22
079EAEDBXPvAibaEXe85hkLGQAJy3bkv6Jx+gOtD,2019-11-23,bangcap/18521395/18521395_bangcap_TOEIC_LR_20200716082709.jpg,TOEIC_LR,715.0,2020-08-22 11:34:01.000000000,2020-07-16,,2020,8,22
07A6BB91XPvAibaEXe8xN1Ehxu1cbwH2ptHdj1dG,2020-11-06,bangcap/19521453/19521453_bangcap_TOEIC_LR_20201125094055.jpg,TOEIC_LR,430.0,2020-12-27 21:13:57.343387471,2020-11-25,,2020,12,27
07BC2D08XPvAibaEXe80b1fr0fH/Jqhggu8L1RSW,2021-03-27,bangcap/15520763/15520763_bangcap_TOEIC_SW_20210405201455.jpg,TOEIC_SW,210.0,2021-05-14 14:40:43.000000000,2021-04-05,,2021,5,14
07BC2D08XPvAibaEXe80b1fr0fH/Jqhggu8L1RSW,2019-05-25,bangcap/15520763/15520763_bangcap_TOEIC_LR_20210405201034.jpg,TOEIC_LR,505.0,2021-05-27 16:17:45.000000000,2021-04-05,,2021,5,27
0821621DXPvAibaEXe/btl79MArZLF7Vr4ovU5Xz,2019-05-18,bangcap/14520043/14520043_bangcap_TOEIC_LR_20190618212724.jpg,TOEIC_LR,460.0,2019-10-22 10:54:20.000000000,2019-06-18,,2019,10,22
09CB50DCXPvAibaEXe/sDxpKTuGnIKhTMmxfSnq0,2020-03-18,bangcap/15520226/15520226_bangcap_TOEIC_LR_20200618214719.jpg,TOEIC_LR,480.0,2020-07-06 15:29:11.000000000,2020-06-18,,2020,7,6
0A0624B8XPvAibaEXe9CtFSNMbfIz13+0RDE3Ypj,2020-10-11,bangcap/13520744/13520744_bangcap_TOEIC_LR_20201025141551.jpg,TOEIC_LR,495.0,2020-11-04 14:23:35.000000000,2020-10-25,,2020,11,4
0A2E8D02XPvAibaEXe+HozZBb+7rZ38QviMj8FHH,2020-07-19,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18520538/18520538_chungchi_TOEIC_LR_20200730145503.jpg,TOEIC_LR,390.0,2020-08-22 10:46:26.000000000,2020-07-30,,2020,8,22
0A69D24BXPvAibaEXe9j81k8MH0oJxqAQ+z1dx73,2018-08-04,bangcap/14520585/14520585_bangcap_TOEIC_LR_20190915215114.jpg,TOEIC_LR,695.0,2019-10-22 10:50:38.000000000,2019-09-15,,2019,10,22
0A69D9BBXPvAibaEXe/yTqQKv0UsdQB4zgad4eTm,2018-10-06,bangcap/18520265/18520265_bangcap_TOEIC_LR_20181031144837.jpg,TOEIC_LR,550.0,2018-12-10 09:24:51.000000000,2018-10-31,,2018,12,10
0A94E4D0XPvAibaEXe9gcLLHJLBBnRqUfrm4aBzH,2018-10-06,bangcap/16520124/16520124_bangcap_TOEIC_LR_20201001140935.jpg,TOEIC_LR,740.0,2020-10-26 15:58:45.000000000,2020-10-01,,2020,10,26
0AAA839BXPvAibaEXe/pnXUIwMJHJvaSCkrHWZjB,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520662/17520662_chungchi_TOEIC_LR_20181203144338.jpg,TOEIC_LR,635.0,2019-01-10 15:45:46.000000000,2018-12-03,,2019,1,10
0AB6119CXPvAibaEXe8pr9LKErUcFSq0rQ1XLPBV,2020-10-16,bangcap/15520539/15520539_bangcap_TOEIC_LR_20201027232027.jpg,TOEIC_LR,500.0,2020-11-04 14:24:09.000000000,2020-10-27,,2020,11,4
0AF3C97DXPvAibaEXe+pZU+khqBqyoH6pG4Xu7DE,2020-07-04,bangcap/15521044/15521044_bangcap_TOEIC_LR_20201208083446.jpeg,TOEIC_LR,455.0,2021-01-09 21:13:57.343387471,2020-12-08,,2021,1,9
0B14E0B3XPvAibaEXe9WkeUltvPYd/efXB9DaOem,2019-12-20,bangcap/17520219/17520219_bangcap_TOEIC_LR_20200703104028.jpg,TOEIC_LR,545.0,2020-07-13 14:48:38.000000000,2020-07-03,,2020,7,13
0B29E970XPvAibaEXe/nv6PZ4rt50lj4oHYu75WK,2020-12-05,bangcap/15520364/15520364_bangcap_TOEIC_LR_20201219141934.jpeg,TOEIC_LR,730.0,2021-01-20 21:13:57.343387471,2020-12-19,,2021,1,20
0B44DD5FXPvAibaEXe9MnecufC0W/lktvrO5PJs9,2020-11-20,bangcap/19522539/19522539_bangcap_TOEIC_LR_20201130164246.jpg,TOEIC_LR,500.0,2021-01-01 21:13:57.343387471,2020-11-30,,2021,1,1
0B468FE1XPvAibaEXe+fmxcqgvribL7shgQ1FhJv,2021-01-31,bangcap/13520664/13520664_bangcap_TOEIC_LR_20210302195420.jpg,TOEIC_LR,550.0,2021-04-03 21:13:57.343387471,2021-03-02,,2021,4,3
0C36B229XPvAibaEXe+p5WOBbWD0M1pNCSfmVrhv,2019-12-29,bangcap/15520939/15520939_bangcap_TOEIC_LR_20190727212445.jpg,TOEIC_LR,490.0,2019-10-22 10:58:39.000000000,2019-07-27,,2019,10,22
0C41E54CXPvAibaEXe/0W4kDBen438YOnjAnq/Gn,2018-12-22,bangcap/18521471/18521471_bangcap_TOEIC_LR_20190109095605.jpeg,TOEIC_LR,615.0,2019-01-21 10:42:20.000000000,2019-01-09,,2019,1,21
0C4BAF73XPvAibaEXe9MQ7MBXxp/M/xAK3s0gD7g,,bangcap/13521092/13521092_bangcap_TOEIC_LR_20180321223757.jpg,TOEIC_LR,965.0,2018-04-12 10:29:37.000000000,2018-03-21,,2018,4,12
0C4D2DA4XPvAibaEXe/HZd2ATF04tJsAugnqQz/3,2020-12-26,bangcap/19520596/19520596_bangcap_TOEIC_LR_20210312163433.jpg,TOEIC_LR,335.0,2021-05-27 16:17:45.000000000,2021-03-12,,2021,5,27
0C6086A0XPvAibaEXe/S5mChdnrLm950BH4/Mi+d,2018-05-27,bangcap/14520030/14520030_bangcap_TOEIC_LR_20190301213621.jpg,TOEIC_LR,555.0,2019-04-12 15:24:08.000000000,2019-03-01,,2019,4,12
0C77106BXPvAibaEXe/NRwqjPAC0MErrzzQBtnng,2019-05-25,bangcap/14520328/14520328_bangcap_TOEIC_LR_20210420124609.jpg,TOEIC_LR,630.0,2021-05-05 15:27:19.000000000,2021-04-20,,2021,5,5
0CD1AC6BXPvAibaEXe9tVd6vhP62h3/dWX/lnb8D,2021-04-03,bangcap/18520021/18520021_bangcap_TOEIC_LR_20210414202223.jpg,TOEIC_LR,555.0,2021-05-05 15:27:19.000000000,2021-04-14,,2021,5,5
0D2B48D3XPvAibaEXe8c53vaOKMxCzqf3f9CtSj+,2019-07-29,bangcap/14520762/14520762_bangcap_TOEIC_LR_20190820235626.jpeg,TOEIC_LR,600.0,2019-10-22 10:53:13.000000000,2019-08-20,,2019,10,22
0D56970AXPvAibaEXe+/1KYXP+fweMd3DfpYccg/,2020-07-12,bangcap/16521781/16521781_bangcap_TOEIC_LR_20200728211244.jpg,TOEIC_LR,580.0,2020-08-13 10:47:21.000000000,2020-07-28,,2020,8,13
0D9B1AFEXPvAibaEXe94sdmGYWWl8FiV/WYzNqOC,2020-08-19,bangcap/19522210/19522210_bangcap_TOEIC_LR_20201222202907.jpg,TOEIC_LR,345.0,2021-01-23 21:13:57.343387471,2020-12-22,,2021,1,23
0DF486EEXPvAibaEXe8zt9d6Yn9pDLCVxga0m3iT,2018-09-24,bangcap/14520028/14520028_bangcap_TOEIC_LR_20181218103420.jpg,TOEIC_LR,935.0,2019-01-10 15:40:39.000000000,2018-12-18,,2019,1,10
0DFB77F9XPvAibaEXe+M8JaUhbJyeUks/6mlFMNg,2021-05-08,bangcap/16521082/16521082_bangcap_IELTS_20210521091344.jpg,IELTS,6.0,2021-05-21 14:15:12.000000000,2021-05-21,,2021,5,21
