id,masv,tinhtrang,lydo,hocky,namhoc,soqd,ngayqd
7532,E95E7C6DXPvAibaEXe+1j/AqdkpM22DHf6P99fDJ,3,Tốt nghiệp,2,2016,178/QĐ-ĐHCNTT,2017-04-14
8304,EBC8A649XPvAibaEXe+fmxcqgvribIboSP1ToKmG,3,Chứng chỉ Anh văn không đạt --> CNTN tốt nghiệp chuyển sang hệ CQĐT,1,2017,713/QĐ-ĐHCNTT,2017-10-06
8305,2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM,3,Chứng chỉ Anh văn không đạt --> CNTN tốt nghiệp chuyển sang hệ CQĐT,1,2017,713/QĐ-ĐHCNTT,2017-10-06
8306,C307F053XPvAibaEXe+nZBq3b0XEhX8PABYu6iV1,3,Chứng chỉ Anh văn không đạt --> CNTN tốt nghiệp chuyển sang hệ CQĐT,1,2017,713/QĐ-ĐHCNTT,2017-10-06
8307,F99CE6DEXPvAibaEXe86736b6Ol+/O3ZQU1AW1/C,3,Chứng chỉ Anh văn không đạt --> CNTN tốt nghiệp chuyển sang hệ CQĐT,1,2017,713/QĐ-ĐHCNTT,2017-10-06
8308,7134F004XPvAibaEXe9eSUilQ3V71iW9jk0tCHGd,3,Chứng chỉ Anh văn không đạt --> CNTN tốt nghiệp chuyển sang hệ CQĐT,1,2017,713/QĐ-ĐHCNTT,2017-10-06
8309,90324570XPvAibaEXe9Xnw4t0GPgxzBH5J/Jtjdb,3,Chứng chỉ Anh văn không đạt --> CNTN tốt nghiệp chuyển sang hệ CQĐT,1,2017,713/QĐ-ĐHCNTT,2017-10-06
8310,E69E5181XPvAibaEXe+Y5CB/5gt3MFjmq2+4vhk0,3,Chứng chỉ Anh văn không đạt --> CNTN tốt nghiệp chuyển sang hệ CQĐT,1,2017,713/QĐ-ĐHCNTT,2017-10-06
8311,0ECFDCE2XPvAibaEXe9hPQQhQOOPyenrlTjJyLmh,3,Chứng chỉ Anh văn không đạt --> CNTN tốt nghiệp chuyển sang hệ CQĐT,1,2017,713/QĐ-ĐHCNTT,2017-10-06
8312,9C9D7B29XPvAibaEXe9aucNQ7/14aOsZ4IvYO2l6,3,Chứng chỉ Anh văn không đạt --> CNTN tốt nghiệp chuyển sang hệ CQĐT,1,2017,713/QĐ-ĐHCNTT,2017-10-06
