maloaigiay,mssv,lydoxacnhan,dain,baosai,lydocapthe,lydosai,daky,dadongdau,daphat
2.0,31D5D488XPvAibaEXe85Kg8gbEhwbxD0x3mi2el8,0,1.0,0.0,1,0,1,1,1.0
2.0,31D5D488XPvAibaEXe85Kg8gbEhwbxD0x3mi2el8,0,1.0,1.0,1,9,0,0,0.0
2.0,4DD248D9XPvAibaEXe+6MN9FoW2mqeloV0TjpGtd,0,1.0,1.0,1,9,0,0,0.0
2.0,816C6BFBXPvAibaEXe9MLbI3cCq2BBTsVGnf8rFZ,0,1.0,1.0,3,9,0,0,0.0
2.0,4F405B4CXPvAibaEXe/7sxkigC7f5+CSJR/5yXnW,0,1.0,1.0,1,9,0,0,0.0
2.0,0E631785XPvAibaEXe9X5bpEKoa0mgPWtTwg2Rv7,0,1.0,1.0,1,9,0,0,0.0
2.0,6E67EB19XPvAibaEXe/X/wixypGyAsT5QiAaYiqu,0,1.0,1.0,1,9,0,0,0.0
2.0,9DE3AA6DXPvAibaEXe+NmgQbVGcjJ/cDB85eYXzc,0,1.0,1.0,1,9,0,0,0.0
2.0,4F405B4CXPvAibaEXe/7sxkigC7f5+CSJR/5yXnW,0,1.0,1.0,1,9,0,0,0.0
2.0,7C10AC8FXPvAibaEXe/zHDidEgqCTtAT2i2TddLN,0,1.0,1.0,1,9,0,0,0.0
2.0,E23E02E0XPvAibaEXe/7sxkigC7f53B3wPQdgffe,0,1.0,1.0,3,9,1,1,1.0
2.0,4DD248D9XPvAibaEXe+6MN9FoW2mqeloV0TjpGtd,0,1.0,1.0,1,9,0,0,0.0
2.0,7C10AC8FXPvAibaEXe/zHDidEgqCTtAT2i2TddLN,0,1.0,1.0,1,9,0,0,0.0
2.0,6E67EB19XPvAibaEXe/X/wixypGyAsT5QiAaYiqu,0,1.0,1.0,3,9,0,0,0.0
2.0,08FB263BXPvAibaEXe9Z67almz7y5semmAKozmbp,0,1.0,1.0,3,9,0,0,0.0
2.0,4F34F659XPvAibaEXe/Dy4K4yiQpOPKiiUqmRs2G,0,1.0,1.0,1,9,0,0,0.0
2.0,7B2E75BDXPvAibaEXe86736b6Ol+/BCzp68OCKKb,0,1.0,1.0,1,9,0,0,0.0
2.0,CF807904XPvAibaEXe+kwIr/VXjl0xC3gHl3XT9p,0,1.0,1.0,3,9,0,0,0.0
2.0,DEE53B1AXPvAibaEXe+vL6q6thZ0Nu5juVpB1ljH,0,1.0,1.0,1,9,0,0,0.0
2.0,067DC928XPvAibaEXe+P6Zzp7Rb5oFhystTt9hCl,0,1.0,0.0,1,0,0,0,0.0
2.0,62654F5DXPvAibaEXe9jjgNhrmbJFPIZXXeZlnxy,0,1.0,0.0,1,0,1,1,1.0
2.0,16765E4EXPvAibaEXe9Z67almz7y5p5Ev/WkDmP/,0,1.0,1.0,1,9,0,0,0.0
2.0,CAF1C679XPvAibaEXe+yU1j0ocViqc3aOVuIyn2Y,0,1.0,1.0,3,9,0,0,0.0
2.0,F4A91DBBXPvAibaEXe+sfU1lcH9y3z7zlCD2CO7V,0,1.0,0.0,1,0,1,1,1.0
2.0,2F247262XPvAibaEXe8ooYk4mkUGmHi9xjh/zG8m,0,1.0,0.0,1,0,1,1,1.0
2.0,F188F59AXPvAibaEXe+nZBq3b0XEhX0gn3eyGCol,0,1.0,1.0,3,9,0,0,0.0
2.0,FA58D615XPvAibaEXe8VekUw4ELehntjFptS9z5b,0,1.0,1.0,1,9,0,0,0.0
2.0,33F840BEXPvAibaEXe86736b6Ol+/H7P3cx/tka4,0,1.0,1.0,3,9,0,0,0.0
2.0,3F25F0F3XPvAibaEXe+fmxcqgvribINZVn1ZCwDg,0,1.0,1.0,1,9,0,0,0.0
2.0,04F89839XPvAibaEXe8ge2UHv4J4B7N8hGEpTcLN,0,1.0,1.0,1,9,0,0,0.0
2.0,3D38A0F6XPvAibaEXe9oenRjqNmEX73VlChhVH0l,0,1.0,1.0,3,9,0,0,0.0
2.0,A51F3DE3XPvAibaEXe/Xn8KZjn44cQKIn5UAq1YD,0,1.0,1.0,1,9,0,0,0.0
2.0,7E7FC55FXPvAibaEXe9U/K5zYZONT8yhxXQNvJ6O,0,1.0,1.0,1,9,0,0,0.0
2.0,D349E207XPvAibaEXe/aPLdUCtOgChkEtg7JE0Ca,0,1.0,1.0,3,9,0,0,0.0
2.0,BAD275EDXPvAibaEXe+6MN9FoW2mqadHvO5K6fIQ,0,1.0,1.0,3,9,0,0,0.0
2.0,D349E207XPvAibaEXe/aPLdUCtOgChkEtg7JE0Ca,0,1.0,1.0,3,9,0,0,0.0
2.0,22530129XPvAibaEXe8T1DiYsmlfsdcZ2u7Jh669,0,1.0,1.0,1,9,0,0,0.0
2.0,6E67EB19XPvAibaEXe/X/wixypGyAsT5QiAaYiqu,0,1.0,1.0,1,9,0,0,0.0
2.0,77044BDAXPvAibaEXe8yzZ/8QUtgdtE4Bj3df2bu,0,1.0,1.0,3,9,0,0,0.0
2.0,A0E35B97XPvAibaEXe/PGAaNNWvbUGQEBTzIPKBn,0,1.0,1.0,1,9,0,0,-1.0
2.0,B75B1276XPvAibaEXe8s1xx8DWM0qgWHPxOEZBeb,0,1.0,1.0,1,9,0,0,-1.0
2.0,00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,0,1.0,1.0,1,9,0,0,0.0
2.0,2A0614D5XPvAibaEXe/y2t7DVG8TDUYXt5JeYGwe,0,1.0,1.0,1,9,0,0,0.0
2.0,E907A4DAXPvAibaEXe+Y5CB/5gt3MMEtpeI9uUCE,0,1.0,1.0,1,9,0,0,0.0
2.0,81233B90XPvAibaEXe+xRE5267JUoLfdgZWsdAhr,0,1.0,1.0,1,9,0,0,0.0
2.0,6F4E2403XPvAibaEXe8hLNatuVCg+d70/9+5XPCj,0,1.0,1.0,1,9,0,0,0.0
2.0,6F4E2403XPvAibaEXe8hLNatuVCg+d70/9+5XPCj,0,1.0,1.0,3,9,0,0,0.0
2.0,61ED53DFXPvAibaEXe/baiw3K4HkFxzsFQRZdGJ5,0,1.0,1.0,1,9,0,0,0.0
2.0,0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg,0,1.0,1.0,1,9,0,0,0.0
2.0,25AF24E3XPvAibaEXe+/EkvXK98KbWSdx1OCHSTZ,0,1.0,1.0,1,9,0,0,0.0
2.0,005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,0,1.0,1.0,1,9,0,0,0.0
2.0,25AF24E3XPvAibaEXe+/EkvXK98KbWSdx1OCHSTZ,0,1.0,1.0,1,9,0,0,0.0
2.0,587117ECXPvAibaEXe+TioGOAQy/3xs11Ox39j0M,0,1.0,1.0,1,9,0,0,0.0
2.0,0EB7EE23XPvAibaEXe8b4sJvH2gx3PgXL4miHOZf,0,1.0,1.0,1,9,0,0,0.0
2.0,7C10AC8FXPvAibaEXe/zHDidEgqCTtAT2i2TddLN,0,1.0,1.0,1,9,0,0,0.0
2.0,005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,0,1.0,1.0,1,9,0,0,0.0
2.0,C455032AXPvAibaEXe+NJiMjcH3vhNjDTbd/VozU,0,1.0,1.0,1,9,0,0,0.0
2.0,47034CE1XPvAibaEXe/SxwNRab2vgL+S1T8wHHjU,0,1.0,1.0,1,9,0,0,0.0
1.0,31D5D488XPvAibaEXe85Kg8gbEhwbxD0x3mi2el8,1,1.0,0.0,0,0,1,1,1.0
1.0,31D5D488XPvAibaEXe85Kg8gbEhwbxD0x3mi2el8,8,1.0,0.0,0,0,1,1,1.0
1.0,31D5D488XPvAibaEXe85Kg8gbEhwbxD0x3mi2el8,3,1.0,0.0,0,0,1,1,1.0
1.0,601E0986XPvAibaEXe+y4Ivhjp8SxpmSs9JVmGUu,1,1.0,1.0,0,9,0,0,0.0
1.0,F257BE3EXPvAibaEXe+lo6eJkHWaQX9v5OomNEKz,1,1.0,0.0,0,0,1,1,1.0
1.0,601E0986XPvAibaEXe+y4Ivhjp8SxpmSs9JVmGUu,1,1.0,0.0,0,0,1,1,1.0
1.0,C76005A8XPvAibaEXe/X/wixypGyAg54ZpujWGey,1,1.0,0.0,0,0,0,0,0.0
1.0,EAA0B693XPvAibaEXe99j2P15eeB04XwhZ0tzlI4,1,1.0,0.0,0,0,1,1,1.0
1.0,603115A9XPvAibaEXe9lF2o7VejWNmxlsu7sojKq,1,1.0,0.0,0,0,1,1,1.0
1.0,1FECA093XPvAibaEXe/Lh6v1XxTKJdFJi/K7qsBq,1,1.0,0.0,0,0,1,1,1.0
1.0,578A7225XPvAibaEXe8hvnm4ihleLUtcWtYNAOFi,1,1.0,0.0,0,0,1,1,1.0
1.0,578A7225XPvAibaEXe8hvnm4ihleLUtcWtYNAOFi,7,1.0,0.0,0,0,1,1,1.0
1.0,578A7225XPvAibaEXe8hvnm4ihleLUtcWtYNAOFi,10,1.0,0.0,0,0,1,1,1.0
1.0,EFA92570XPvAibaEXe8s1xx8DWM0qh0wHqaPbJbq,1,1.0,0.0,0,0,1,1,1.0
1.0,EAFB8611XPvAibaEXe+wmtNhlfgIwhUtxuTJu+OP,1,1.0,0.0,0,0,1,1,1.0
1.0,F99CE6DEXPvAibaEXe86736b6Ol+/O3ZQU1AW1/C,7,1.0,0.0,0,0,1,1,1.0
1.0,91F785ABXPvAibaEXe/lOccskaOiO5y4GbVvuRQu,1,1.0,0.0,0,0,1,1,1.0
1.0,B85AE4CFXPvAibaEXe/FWKstHRRDnYSo4DEPmiWp,7,1.0,0.0,0,0,0,0,0.0
1.0,33F840BEXPvAibaEXe86736b6Ol+/H7P3cx/tka4,1,1.0,0.0,0,0,1,1,1.0
1.0,29DAC8E5XPvAibaEXe9iKIRwqei6/AabAAzMbpha,1,1.0,1.0,0,9,0,0,0.0
1.0,8F360909XPvAibaEXe9h45naFhFKYhGzBWaAWcy0,1,1.0,0.0,0,0,1,1,1.0
1.0,1144C476XPvAibaEXe/FejQN8/S5fMTeBtQ6DFpo,1,1.0,0.0,0,0,1,1,1.0
1.0,76CACACBXPvAibaEXe9hPQQhQOOPyV0cvrwNuPGz,1,1.0,1.0,0,9,0,0,0.0
1.0,FA254441XPvAibaEXe+yU1j0ocViqeDyPSpZ8AwW,1,1.0,0.0,0,0,1,1,1.0
1.0,8E49F159XPvAibaEXe/YKN5ysyYL7Hv6XLBu67/v,1,1.0,0.0,0,0,1,1,1.0
1.0,B2204322XPvAibaEXe/SxwNRab2vgCFsjDisX+gc,1,1.0,0.0,0,0,1,1,1.0
1.0,44601EB7XPvAibaEXe99j2P15eeB0+Zs3AHanVIa,1,1.0,0.0,0,0,1,1,1.0
1.0,C63071C5XPvAibaEXe9JDlHA4z2GHBvVa1gNFpuJ,1,1.0,0.0,0,0,1,1,1.0
1.0,6AEF2EC0XPvAibaEXe86736b6Ol+/EwtIJHvLVRJ,1,1.0,0.0,0,0,1,1,1.0
1.0,B324AA62XPvAibaEXe9h45naFhFKYnJpwCUzzMDr,1,1.0,1.0,0,9,0,0,0.0
1.0,35A1B6FFXPvAibaEXe9Z67almz7y5kj8xAL7LEki,1,1.0,0.0,0,0,1,1,1.0
1.0,D367637EXPvAibaEXe+6MN9FoW2mqYPK/ixWMAwA,1,1.0,1.0,0,9,0,0,0.0
1.0,212EA0C7XPvAibaEXe/Hpk/kOf6+1XWAGhQk4dXd,1,1.0,0.0,0,0,1,1,1.0
1.0,E6A68052XPvAibaEXe8k9aD0YXzUPjDIBsjZnI4k,1,1.0,0.0,0,0,1,1,1.0
1.0,4519669FXPvAibaEXe/uH+ehSKMSjbKx7ngVlc1q,1,1.0,0.0,0,0,1,1,1.0
1.0,EB858A9EXPvAibaEXe+kwIr/VXjl06GMqaN1u5Lh,1,1.0,0.0,0,0,1,1,1.0
1.0,B324AA62XPvAibaEXe9h45naFhFKYnJpwCUzzMDr,1,1.0,0.0,0,0,1,1,1.0
1.0,6A34DC14XPvAibaEXe9HKUC7sboLjsk46RkohDVv,1,1.0,0.0,0,0,1,1,1.0
1.0,81D2AB1FXPvAibaEXe/YKAlYnC3m9ztTf89k7OWJ,1,1.0,0.0,0,0,1,1,1.0
1.0,535EE7D3XPvAibaEXe9/su+qLcYDMqV4B2iJU0yP,1,1.0,0.0,0,0,1,1,1.0
1.0,29DAC8E5XPvAibaEXe9iKIRwqei6/AabAAzMbpha,1,1.0,0.0,0,0,1,1,1.0
1.0,06BFA130XPvAibaEXe/+PcSgI7YkeSntP5em9h+w,1,1.0,0.0,0,0,1,1,1.0
1.0,B51C8C34XPvAibaEXe8k9aD0YXzUPvhc8ATcqnY3,1,1.0,0.0,0,0,1,1,1.0
1.0,6EBFAC96XPvAibaEXe/XBbLEWRhgQXinO9yZvS2d,1,1.0,0.0,0,0,1,1,1.0
1.0,0EA8D3D2XPvAibaEXe/lOccskaOiOzxORymghVIL,1,1.0,0.0,0,0,1,1,1.0
1.0,30F6C945XPvAibaEXe/Lh6v1XxTKJVD20kccXwaQ,1,1.0,0.0,0,0,0,0,0.0
1.0,85C2D27FXPvAibaEXe/Dy4K4yiQpOJHnLNT8mIEk,1,1.0,0.0,0,0,1,1,1.0
1.0,A465B59BXPvAibaEXe99GOtI/HwJhTcVZiHi+eIc,1,1.0,0.0,0,0,1,1,1.0
1.0,08890FF6XPvAibaEXe+wmtNhlfgIwlWvQAJnsgPn,1,1.0,0.0,0,0,1,1,1.0
1.0,EF1CC696XPvAibaEXe/FejQN8/S5fEIReZ4QsFjV,1,1.0,0.0,0,0,1,1,1.0
