mssv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG
7E308531XPvAibaEXe879+AOg1gh8i58Q/VMq7RU,THPT,0.8166666666666667,53.0,32.0,THPT Bình Đông
0FCB6532XPvAibaEXe879+AOg1gh8o0EEQcYQ8HR,THPT,0.9166666666666666,16.0,41.0,THPT Lê Xoay
BAF446BFXPvAibaEXe879+AOg1gh8uQrEauqA0AG,THPT,0.8333333333333334,42.0,21.0,THPT Di Linh
599DFFB8XPvAibaEXe879+AOg1gh8lJvChSN7o+V,THPT,0.9333333333333333,51.0,34.0,THPT Mỹ Hiệp
364B9E9BXPvAibaEXe879+AOg1gh8sRVdBmZSiXe,THPT,0.8166666666666667,52.0,39.0,TTGDTX-HN Đất Đỏ (Trước 01/7/2019)
BBAD4F2BXPvAibaEXe879+AOg1gh8vGaQYZ3wJAR,THPT,0.9833333333333333,2.0,53.0,THPT Nguyễn Công Trứ
88C15831XPvAibaEXe879+AOg1gh8uMWWp9sXQnJ,THPT,0.8833333333333333,2.0,188.0,THPT Trần Quang Khải
FC77E598XPvAibaEXe879+AOg1gh8pb/q8KzJ2A3,THPT,1.1333333333333333,33.0,1.0,THPT Chuyên Quốc Học-Huế
9E9A38AEXPvAibaEXe879+AOg1gh8jBg5Ccj9ksF,THPT,0.7833333333333333,54.0,7.0,THPT Kiên Lương
140E6C4CXPvAibaEXe/asAVnWDRS7Te/6FHN3JZ9,THPT,0.8666666666666667,36.0,1.0,THPT Kon Tum
A6EA9F79XPvAibaEXe/asAVnWDRS7dXIHpGvggPH,THPT,0.7666666666666667,57.0,27.0,THCS và THPT Phú Thịnh
F9AD085CXPvAibaEXe/asAVnWDRS7ejs/e1rGnUq,THPT,0.8833333333333333,46.0,55.0,TT GDNN-GDTX Gò Dầu
B1460568XPvAibaEXe/asAVnWDRS7f+aMPJ9kBjL,THPT,0.85,45.0,1.0,THPT Nguyễn Trãi
E210AA8EXPvAibaEXe/asAVnWDRS7eUZUTEqhAQl,THPT,0.9166666666666666,3.0,7.0,THPT Ngô Quyền
32CA7383XPvAibaEXe/asAVnWDRS7W3J9+TvE5ZI,THPT,0.8333333333333334,48.0,3.0,THPT Ngô Quyền
85A1EF64XPvAibaEXe/asAVnWDRS7aDwG/eutYGP,THPT,1.0833333333333333,2.0,65.0,THPT Hoàng Hoa Thám
E68386BCXPvAibaEXe/asAVnWDRS7bT1MwA0tQQ/,THPT,0.8833333333333333,48.0,66.0,THPT Trần Đại Nghĩa
786BE3EBXPvAibaEXe/asAVnWDRS7UAj1YtnlMWY,THPT,0.8166666666666667,54.0,16.0,THPT An Biên
F585674DXPvAibaEXe93PEySAJOVk6T3mUZtHkOx,THPT,1.0333333333333334,55.0,12.0,THPT Bùi Hữu Nghĩa
9095EEE4XPvAibaEXe93PEySAJOVk2kOrJQCpxlr,THPT,0.8833333333333333,48.0,7.0,THPT Lê Hồng Phong
246BFB8AXPvAibaEXe93PEySAJOVk7f1TlF/mfrO,THPT,0.8333333333333334,2.0,57.0,THPT Nguyễn Chí Thanh
