mssv,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,81,76,76,75,75,91,77,71,64,70,76,70,-1,-1,-1,-1
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,85,100,96,100,100,90,86,84,58,-1,-1,-1,-1,-1,-1,-1
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,90,95,100,79,88,100,100,86,-1,-1,-1,-1,-1,-1,-1,-1
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,59,76,76,75,75,48,25,23,-1,-1,-1,-1,-1,-1,-1,-1
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,80,70,66,63,58,69,70,66,84,66,58,-1,-1,-1,-1,-1
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,90,88,81,80,100,86,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
0029EB61XPvAibaEXe91cD6qcSaqdHPIvbwRC2rY,67,67,77,94,100,100,99,86,29,25,50,-1,-1,-1,-1,-1
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,76,80,59,54,58,58,77,54,58,-1,-1,-1,-1,-1,-1,-1
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,83,78,66,65,80,53,53,-1,-1,-1,-1,-1,-1,-1,-1,-1
004FE280XPvAibaEXe/NJPkXkTyAbVU9wZ4y1XE1,0,0,0,0,50,50,58,60,-1,-1,-1,-1,-1,-1,-1,-1
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,75,75,62,79,54,61,25,31,-1,-1,-1,-1,-1,-1,-1,-1
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,80,75,76,75,81,86,94,80,58,58,-1,-1,-1,-1,-1,-1
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna,66,77,90,85,86,90,96,-1,-1,-1,-1,-1,-1,-1,-1,-1
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,90,60,71,73,75,61,61,-1,-1,-1,-1,-1,-1,-1,-1,-1
00668B96XPvAibaEXe/rc1q60ZPWU+x2cscfFz9e,70,75,93,82,68,54,2,37,55,40,-1,-1,-1,-1,-1,-1
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,80,100,85,85,72,95,83,76,84,74,68,-1,-1,-1,-1,-1
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,77,77,74,84,68,64,78,80,75,60,-1,-1,-1,-1,-1,-1
