mssv,sotc
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,3.0
000C6162XPvAibaEXe+PW4qz/iocS+kLy20SxUtq,3.0
001035EEXPvAibaEXe96CsVvWqz3pQYJCmKNEhVf,68.0
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,0.0
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,24.0
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,57.0
0029EB61XPvAibaEXe91cD6qcSaqdHPIvbwRC2rY,27.0
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,34.0
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,10.0
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,33.0
004FE280XPvAibaEXe/NJPkXkTyAbVU9wZ4y1XE1,11.0
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,24.0
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,6.0
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,16.0
00668B96XPvAibaEXe/rc1q60ZPWU+x2cscfFz9e,66.0
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,9.0
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,4.0
007A88C7XPvAibaEXe+R1vbMbxqswMswlQtK4FNg,13.0
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,15.0
007CB530XPvAibaEXe8+GQryQ1SFFbuB4Vl7K9AY,2.0
0085722BXPvAibaEXe/baq/wvVlH/v1E0JmnRemC,24.0
008BC94CXPvAibaEXe9/w7qCPr4fx1vMkMDBbGR/,6.0
008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi,6.0
00915DD6XPvAibaEXe/HmIUF1I+C90K2qV+jnm2Z,6.0
009C9A0FXPvAibaEXe/rc1q60ZPWUyXh342uNosK,96.0
00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8,16.0
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,34.0
00ACC499XPvAibaEXe8ciyLBP/Qla4g3ka0I3o/F,20.0
00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1,76.0
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,7.0
00BA75D9XPvAibaEXe86Rqk7wH1x9L5qZti6M7iN,11.0
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,18.0
00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x,11.0
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,8.0
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,45.0
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,2.0
00D57B2CXPvAibaEXe9fG+Eba8DRT+L5HFKCs8+7,3.0
00D998E7XPvAibaEXe9zxSCPaAyRSwstrMEX+Clk,50.0
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,43.0
00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0,15.0
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,8.0
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,16.0
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,43.0
00F31427XPvAibaEXe/nAyWBShz66zonv6PR2hvp,4.0
00F54368XPvAibaEXe+Ya8MABQC4RC6OY7Db/+M5,3.0
010ADE2EXPvAibaEXe+nMqNhjtt9Y8KIg355Y2bI,32.0
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,6.0
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,8.0
