mssv,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,81.0,0.0,76.0,76.0,75.0,75.0,91.0,0.0,77.0,0.0,71.0,0.0,64.0,0.0,70.0,0.0
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,85.0,0.0,100.0,0.0,96.0,0.0,100.0,0.0,100.0,0.0,90.0,86.0,84.0,58.0,-1.0,-1.0
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,90.0,0.0,95.0,0.0,100.0,0.0,79.0,0.0,88.0,0.0,100.0,100.0,86.0,-1.0,-1.0,-1.0
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,95.0,0.0,95.0,0.0,100.0,0.0,95.0,100.0,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,59.0,0.0,76.0,76.0,75.0,75.0,48.0,0.0,-25.0,0.0,-23.0,0.0,-1.0,-1.0,-1.0,-1.0
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,80.0,0.0,70.0,0.0,66.0,0.0,63.0,0.0,58.0,0.0,69.0,0.0,70.0,0.0,66.0,84.0
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,90.0,0.0,88.0,0.0,81.0,0.0,80.0,100.0,86.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0029EB61XPvAibaEXe91cD6qcSaqdHPIvbwRC2rY,67.0,67.0,77.0,94.0,100.0,100.0,99.0,86.0,29.0,25.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,76.0,0.0,80.0,0.0,59.0,0.0,54.0,0.0,58.0,0.0,58.0,77.0,54.0,58.0,-1.0,-1.0
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,73.0,0.0,68.0,0.0,61.0,0.0,63.0,0.0,66.0,0.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,83.0,0.0,78.0,0.0,66.0,0.0,65.0,0.0,80.0,0.0,53.0,0.0,53.0,0.0,-1.0,-1.0
004FE280XPvAibaEXe/NJPkXkTyAbVU9wZ4y1XE1,0.0,0.0,0.0,0.0,50.0,50.0,58.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,75.0,75.0,62.0,0.0,79.0,0.0,54.0,0.0,61.0,0.0,25.0,0.0,31.0,0.0,-1.0,-1.0
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,80.0,0.0,75.0,0.0,76.0,0.0,75.0,0.0,81.0,0.0,86.0,0.0,94.0,0.0,80.0,58.0
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna,66.0,0.0,77.0,0.0,90.0,0.0,85.0,0.0,86.0,0.0,90.0,0.0,96.0,0.0,-1.0,-1.0
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,90.0,0.0,60.0,0.0,71.0,0.0,73.0,0.0,75.0,0.0,61.0,0.0,61.0,0.0,-1.0,-1.0
00668B96XPvAibaEXe/rc1q60ZPWU+x2cscfFz9e,70.0,75.0,93.0,82.0,68.0,54.0,-2.0,37.0,55.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,80.0,0.0,100.0,0.0,85.0,0.0,85.0,0.0,72.0,0.0,95.0,0.0,83.0,0.0,76.0,84.0
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,77.0,77.0,74.0,0.0,84.0,0.0,68.0,0.0,64.0,0.0,78.0,0.0,80.0,0.0,75.0,0.0
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,77.0,0.0,73.0,0.0,86.0,0.0,85.0,0.0,68.0,0.0,68.0,0.0,90.0,0.0,74.0,0.0
007A88C7XPvAibaEXe+R1vbMbxqswMswlQtK4FNg,92.0,74.0,89.0,83.0,65.0,74.0,69.0,61.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
007B0A19XPvAibaEXe/UEORkxzaGRmODz65jligT,80.0,0.0,80.0,0.0,80.0,0.0,80.0,0.0,72.0,0.0,84.0,0.0,79.0,0.0,77.0,66.0
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,97.0,0.0,86.0,86.0,85.0,85.0,87.0,87.0,79.0,0.0,78.0,0.0,66.0,0.0,75.0,0.0
007CB530XPvAibaEXe8+GQryQ1SFFbuB4Vl7K9AY,66.0,66.0,89.0,98.0,100.0,89.0,92.0,81.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0085722BXPvAibaEXe/baq/wvVlH/v1E0JmnRemC,80.0,0.0,90.0,0.0,76.0,0.0,78.0,0.0,80.0,0.0,79.0,0.0,81.0,0.0,72.0,79.0
0088B819XPvAibaEXe+pRrseqS9RoYVQbm9WQphs,90.0,0.0,100.0,0.0,100.0,0.0,86.0,91.0,100.0,79.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
008BC94CXPvAibaEXe9/w7qCPr4fx1vMkMDBbGR/,90.0,0.0,66.0,0.0,73.0,0.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi,68.0,0.0,86.0,0.0,80.0,0.0,80.0,0.0,75.0,0.0,75.0,0.0,72.0,0.0,81.0,0.0
00951367XPvAibaEXe+JOtnwEvC97gx0NG0xwouT,95.0,0.0,95.0,0.0,90.0,0.0,96.0,100.0,82.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
009C9A0FXPvAibaEXe/rc1q60ZPWUyXh342uNosK,67.0,70.0,82.0,81.0,49.0,46.0,85.0,68.0,33.0,55.0,55.0,-1.0,-1.0,-1.0,-1.0,-1.0
00A19556XPvAibaEXe8LS2f+PMhnWcTY0SCqnvj7,0.0,0.0,0.0,0.0,0.0,5.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8,100.0,0.0,64.0,0.0,56.0,0.0,52.0,0.0,82.0,0.0,90.0,0.0,86.0,0.0,75.0,0.0
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,85.0,0.0,80.0,0.0,100.0,0.0,70.0,0.0,96.0,0.0,84.0,84.0,60.0,67.0,-1.0,-1.0
00ACC499XPvAibaEXe8ciyLBP/Qla4g3ka0I3o/F,56.0,0.0,48.0,0.0,62.0,0.0,30.0,0.0,67.0,0.0,60.0,0.0,66.0,0.0,-1.0,-1.0
00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1,56.0,56.0,51.0,0.0,55.0,0.0,50.0,0.0,61.0,0.0,65.0,0.0,63.0,0.0,68.0,0.0
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,80.0,0.0,70.0,0.0,68.0,0.0,76.0,0.0,80.0,0.0,75.0,0.0,70.0,0.0,83.0,0.0
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,61.0,0.0,57.0,57.0,60.0,60.0,88.0,0.0,70.0,0.0,68.0,0.0,70.0,0.0,65.0,0.0
00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x,75.0,0.0,54.0,0.0,52.0,0.0,67.0,0.0,76.0,0.0,80.0,0.0,80.0,0.0,70.0,0.0
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,80.0,0.0,80.0,0.0,79.0,0.0,81.0,0.0,76.0,0.0,91.0,84.0,74.0,71.0,-1.0,-1.0
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,85.0,0.0,80.0,0.0,90.0,0.0,90.0,0.0,100.0,0.0,100.0,94.0,75.0,83.0,-1.0,-1.0
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,90.0,0.0,75.0,0.0,81.0,0.0,82.0,76.0,69.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,78.0,0.0,75.0,0.0,76.0,0.0,75.0,0.0,79.0,0.0,74.0,0.0,76.0,0.0,76.0,-1.0
00D57B2CXPvAibaEXe9fG+Eba8DRT+L5HFKCs8+7,66.0,66.0,80.0,86.0,90.0,87.0,85.0,79.0,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,32.0,0.0,69.0,0.0,43.0,0.0,35.0,0.0,67.0,0.0,78.0,0.0,80.0,0.0,85.0,0.0
00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0,61.0,0.0,50.0,0.0,80.0,0.0,79.0,0.0,65.0,0.0,55.0,0.0,-1.0,-1.0,-1.0,-1.0
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,80.0,0.0,80.0,0.0,76.0,0.0,80.0,0.0,70.0,0.0,84.0,0.0,86.0,0.0,100.0,86.0
00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI,81.0,0.0,74.0,0.0,85.0,0.0,72.0,77.0,79.0,76.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,85.0,0.0,79.0,0.0,66.0,0.0,87.0,0.0,70.0,0.0,81.0,77.0,60.0,73.0,-1.0,-1.0
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,67.0,0.0,36.0,0.0,64.0,0.0,41.0,0.0,56.0,0.0,56.0,0.0,63.0,0.0,55.0,0.0
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,95.0,0.0,95.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,99.0,-1.0,-1.0,-1.0
010ADE2EXPvAibaEXe+nMqNhjtt9Y8KIg355Y2bI,0.0,77.0,77.0,97.0,97.0,70.0,59.0,62.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN,90.0,0.0,95.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,91.0,85.0,-1.0,-1.0,-1.0
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,70.0,0.0,90.0,0.0,90.0,0.0,85.0,0.0,81.0,0.0,85.0,0.0,95.0,0.0,100.0,0.0
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,82.0,0.0,78.0,78.0,93.0,93.0,63.0,63.0,81.0,0.0,64.0,0.0,75.0,0.0,66.0,0.0
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,80.0,0.0,75.0,0.0,68.0,0.0,67.0,0.0,77.0,0.0,72.0,0.0,79.0,0.0,70.0,79.0
01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF,100.0,100.0,97.0,97.0,81.0,0.0,86.0,0.0,62.0,0.0,68.0,0.0,80.0,0.0,75.0,0.0
0128EAA3XPvAibaEXe8GdejRAl8Wnc0w6KpamDBh,0.0,65.0,65.0,55.0,55.0,72.0,59.0,56.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,77.0,0.0,67.0,0.0,58.0,0.0,69.0,0.0,88.0,0.0,91.0,100.0,90.0,64.0,-1.0,-1.0
012D5FA0XPvAibaEXe8ekJLnPa5PiwwwoUly7zXh,85.0,82.0,93.0,84.0,85.0,83.0,97.0,68.0,25.0,50.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0
01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W,70.0,70.0,83.0,0.0,75.0,0.0,66.0,0.0,55.0,0.0,57.0,0.0,61.0,0.0,42.0,0.0
01345052XPvAibaEXe80b1fr0fH/Ju3gQ/HxLb96,100.0,0.0,80.0,0.0,9.0,0.0,20.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,59.0,0.0,50.0,0.0,61.0,0.0,67.0,0.0,71.0,0.0,62.0,0.0,70.0,0.0,61.0,0.0
013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b,81.0,0.0,49.0,0.0,57.0,0.0,55.0,0.0,59.0,0.0,68.0,0.0,60.0,0.0,55.0,0.0
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,80.0,0.0,80.0,0.0,85.0,0.0,95.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,91.0
014C54F7XPvAibaEXe8JhJ4J3nSSlz1TA0ntP3g/,90.0,0.0,99.0,0.0,87.0,0.0,90.0,100.0,96.0,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,61.0,0.0,75.0,0.0,86.0,0.0,90.0,0.0,86.0,0.0,85.0,0.0,100.0,0.0,100.0,0.0
0155D7F9XPvAibaEXe+RaLErOlzghWNFVX9jT8kn,95.0,0.0,88.0,0.0,83.0,0.0,80.0,0.0,100.0,0.0,100.0,0.0,81.0,0.0,85.0,0.0
0155F093XPvAibaEXe85dXQU86uLqurdL0uRwFQi,60.0,60.0,76.0,76.0,68.0,68.0,76.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0158F6BAXPvAibaEXe+uerJTeDQlAcQOde1PcQVK,0.0,97.0,97.0,100.0,100.0,100.0,100.0,100.0,98.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
016AB880XPvAibaEXe9lVlYxgSyBv8bGU/pM3AL/,73.0,0.0,70.0,0.0,58.0,0.0,66.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,95.0,0.0,100.0,0.0,100.0,0.0,90.0,100.0,100.0,81.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko,69.0,0.0,36.0,0.0,60.0,0.0,70.0,0.0,63.0,0.0,58.0,0.0,58.0,0.0,58.0,0.0
0183EC24XPvAibaEXe9/Gb/OX3UNHqZX6lNJWrK/,60.0,60.0,89.0,89.0,80.0,80.0,80.0,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0186D2FEXPvAibaEXe8Lp0YaxzdqUosODBdNyP4Q,84.0,0.0,61.0,0.0,74.0,0.0,67.0,0.0,63.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,80.0,0.0,80.0,0.0,81.0,0.0,75.0,0.0,81.0,0.0,82.0,0.0,72.0,0.0,71.0,85.0
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
019408C0XPvAibaEXe9fmk+IGAumNdUM6Phb8veW,80.0,80.0,92.0,92.0,99.0,99.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
01B27747XPvAibaEXe9MnecufC0W/lxoJKNrs8f0,78.0,0.0,66.0,0.0,75.0,0.0,72.0,80.0,66.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP,60.0,0.0,80.0,0.0,85.0,0.0,90.0,0.0,90.0,0.0,80.0,0.0,88.0,0.0,91.0,0.0
01B88734XPvAibaEXe+E+n9mGyneJyl+8Jf7jzUD,87.0,0.0,80.0,0.0,69.0,0.0,76.0,0.0,80.0,0.0,80.0,0.0,80.0,0.0,90.0,0.0
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb,55.0,0.0,62.0,0.0,55.0,0.0,66.0,0.0,67.0,0.0,75.0,0.0,59.0,0.0,81.0,82.0
023C593EXPvAibaEXe9FHRfjQvHQkczLW3d0xRtJ,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6,80.0,0.0,75.0,0.0,76.0,0.0,75.0,0.0,83.0,0.0,79.0,0.0,66.0,0.0,73.0,76.0
023F89C8XPvAibaEXe/7Lh49MHjRPu+RMRzizfCa,55.0,55.0,76.0,76.0,99.0,99.0,91.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0240B76EXPvAibaEXe8KSegZW1rFPLOz0dvU4sSm,87.0,58.0,86.0,79.0,69.0,80.0,62.0,64.0,41.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,90.0,0.0,90.0,0.0,85.0,0.0,85.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.0,76.0
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,72.0,0.0,71.0,71.0,72.0,72.0,53.0,53.0,67.0,0.0,44.0,0.0,60.0,0.0,64.0,0.0
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,90.0,0.0,85.0,0.0,88.0,0.0,96.0,77.0,82.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0268144BXPvAibaEXe/1bsgFpjh4Axad4rWmHEhg,67.0,67.0,82.0,92.0,93.0,100.0,80.0,72.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0269665FXPvAibaEXe+kufBIlPDTdTr7u196rxex,52.0,52.0,60.0,74.0,41.0,18.0,-12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg,70.0,0.0,71.0,71.0,67.0,67.0,66.0,0.0,51.0,0.0,51.0,0.0,37.0,0.0,55.0,0.0
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,65.0,0.0,85.0,0.0,80.0,0.0,79.0,0.0,66.0,0.0,80.0,0.0,45.0,0.0,71.0,66.0
02742628XPvAibaEXe+R1vbMbxqswIQR7pz52Lxo,100.0,92.0,100.0,87.0,92.0,81.0,72.0,44.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,78.0,0.0,90.0,0.0,81.0,0.0,80.0,0.0,80.0,0.0,94.0,0.0,79.0,0.0,82.0,74.0
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB,90.0,0.0,90.0,0.0,90.0,0.0,90.0,0.0,98.0,0.0,100.0,0.0,100.0,0.0,74.0,66.0
029F830DXPvAibaEXe/2X6aOdUt4J51IQ9VxbP3E,0.0,59.0,59.0,100.0,100.0,100.0,82.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
