mssv,hocky,namhoc,dtbhk,sotchk
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1,2016,7.86,19
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,2,2016,6.76,19
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1,2017,7.62,24
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,2,2017,7.25,19
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1,2018,5.95,19
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1,2016,7.18,19
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,2,2016,5.66,19
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1,2017,5.64,24
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,2,2017,6.33,22
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1,2018,4.58,15
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1,2016,5.78,17
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,2,2016,6.16,19
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1,2017,7.97,24
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,2,2017,7.74,20
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,3,2017,8.53,7
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1,2018,7.3,21
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1,2016,7.31,12
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,2,2016,7.47,13
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,3,2016,7.63,6
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1,2017,7.79,23
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,2,2017,8.06,20
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1,2018,8.1,17
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1,2016,8.3,19
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,2,2016,7.67,15
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1,2017,8.57,21
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,2,2017,7.58,17
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1,2018,7.09,17
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1,2016,7.71,17
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,2,2016,5.0,19
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1,2017,8.16,24
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,2,2017,7.24,21
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1,2018,7.43,18
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1,2016,8.62,13
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,2,2016,8.24,17
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1,2017,7.81,24
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,2,2017,8.19,21
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1,2018,7.5,22
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1,2016,7.06,17
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,2,2016,6.78,21
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1,2017,7.41,24
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,2,2017,7.25,20
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1,2018,6.46,17
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1,2016,7.74,19
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,2,2016,7.86,21
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1,2017,8.3,20
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,2,2017,7.75,19
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1,2018,9.11,15
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1,2016,6.95,13
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,2,2016,7.61,17
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,3,2016,8.0,3
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1,2017,7.7,23
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,2,2017,8.03,20
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1,2018,7.2,16
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1,2016,8.14,17
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,2,2016,7.46,19
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1,2017,7.47,22
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,2,2017,7.09,23
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1,2018,6.95,17
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1,2016,8.73,15
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,2,2016,7.89,17
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1,2017,8.53,20
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,2,2017,7.86,19
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1,2018,8.83,15
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1,2016,6.42,15
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,2,2016,6.32,17
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1,2017,6.68,20
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,2,2017,6.69,17
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1,2018,7.1,12
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1,2016,7.64,19
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,2,2016,6.87,19
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1,2017,8.11,21
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,2,2017,7.82,17
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1,2018,7.59,17
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1,2016,5.48,19
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,2,2016,6.14,21
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,3,2016,7.29,7
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1,2017,5.41,19
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,2,2017,6.34,17
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1,2018,6.31,20
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,1,2016,7.71,15
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,2,2016,7.91,17
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,3,2016,6.2,4
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,1,2017,6.61,24
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,2,2017,7.56,22
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,1,2018,8.13,16
0A94E4D0XPvAibaEXe9gcLLHJLBBnRqUfrm4aBzH,1,2016,7.32,17
0A94E4D0XPvAibaEXe9gcLLHJLBBnRqUfrm4aBzH,2,2016,5.37,19
0A94E4D0XPvAibaEXe9gcLLHJLBBnRqUfrm4aBzH,1,2017,7.51,23
0A94E4D0XPvAibaEXe9gcLLHJLBBnRqUfrm4aBzH,2,2017,7.62,20
0A94E4D0XPvAibaEXe9gcLLHJLBBnRqUfrm4aBzH,1,2018,4.9,24
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,1,2016,6.74,17
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,2,2016,5.56,21
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,1,2017,7.8,23
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,2,2017,7.25,19
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,1,2018,7.54,19
55C4950AXPvAibaEXe9CJmVsz9P34pEFprlIxi9u,1,2016,7.23,17
55C4950AXPvAibaEXe9CJmVsz9P34pEFprlIxi9u,2,2016,6.29,19
55C4950AXPvAibaEXe9CJmVsz9P34pEFprlIxi9u,1,2017,7.9,21
55C4950AXPvAibaEXe9CJmVsz9P34pEFprlIxi9u,2,2017,7.41,22
55C4950AXPvAibaEXe9CJmVsz9P34pEFprlIxi9u,1,2018,7.89,21
2D62888EXPvAibaEXe9CJmVsz9P34tT9eWJLg/yU,1,2016,8.46,17
2D62888EXPvAibaEXe9CJmVsz9P34tT9eWJLg/yU,2,2016,7.98,21
2D62888EXPvAibaEXe9CJmVsz9P34tT9eWJLg/yU,1,2017,8.2,22
2D62888EXPvAibaEXe9CJmVsz9P34tT9eWJLg/yU,2,2017,8.05,19
2D62888EXPvAibaEXe9CJmVsz9P34tT9eWJLg/yU,1,2018,8.11,18
ADB95D1BXPvAibaEXe+JF4o+SEKcGDSWthX0QZQy,1,2016,7.23,17
ADB95D1BXPvAibaEXe+JF4o+SEKcGDSWthX0QZQy,2,2016,7.71,21
ADB95D1BXPvAibaEXe+JF4o+SEKcGDSWthX0QZQy,1,2017,8.76,20
ADB95D1BXPvAibaEXe+JF4o+SEKcGDSWthX0QZQy,2,2017,7.71,21
ADB95D1BXPvAibaEXe+JF4o+SEKcGDSWthX0QZQy,1,2018,7.79,14
3526D59AXPvAibaEXe9GqQkS1wvjIRxFTurXY4N0,1,2016,6.13,19
3526D59AXPvAibaEXe9GqQkS1wvjIRxFTurXY4N0,2,2016,5.3,19
3526D59AXPvAibaEXe9GqQkS1wvjIRxFTurXY4N0,1,2017,6.49,21
3526D59AXPvAibaEXe9GqQkS1wvjIRxFTurXY4N0,2,2017,7.51,22
3526D59AXPvAibaEXe9GqQkS1wvjIRxFTurXY4N0,1,2018,6.95,23
8F752AF5XPvAibaEXe9wQ8rkPICemKkORLm0t6hF,1,2016,8.22,17
8F752AF5XPvAibaEXe9wQ8rkPICemKkORLm0t6hF,2,2016,8.08,19
8F752AF5XPvAibaEXe9wQ8rkPICemKkORLm0t6hF,1,2017,7.7,24
8F752AF5XPvAibaEXe9wQ8rkPICemKkORLm0t6hF,2,2017,8.1,20
8F752AF5XPvAibaEXe9wQ8rkPICemKkORLm0t6hF,1,2018,8.56,18
8AB3A116XPvAibaEXe9wQ8rkPICemLrEZksxFZ06,1,2016,6.47,19
8AB3A116XPvAibaEXe9wQ8rkPICemLrEZksxFZ06,2,2016,6.56,19
8AB3A116XPvAibaEXe9wQ8rkPICemLrEZksxFZ06,1,2017,7.45,21
8AB3A116XPvAibaEXe9wQ8rkPICemLrEZksxFZ06,2,2017,7.19,14
8AB3A116XPvAibaEXe9wQ8rkPICemLrEZksxFZ06,3,2017,9.9,4
8AB3A116XPvAibaEXe9wQ8rkPICemLrEZksxFZ06,1,2018,7.68,16
DB96172AXPvAibaEXe/waquVAMA8TuDef+6Fb/pR,1,2016,6.87,19
DB96172AXPvAibaEXe/waquVAMA8TuDef+6Fb/pR,2,2016,6.69,19
DB96172AXPvAibaEXe/waquVAMA8TuDef+6Fb/pR,1,2017,7.84,20
DB96172AXPvAibaEXe/waquVAMA8TuDef+6Fb/pR,2,2017,6.73,18
DB96172AXPvAibaEXe/waquVAMA8TuDef+6Fb/pR,1,2018,7.27,17
B114F41DXPvAibaEXe9IFJLLU9DVVVLclcXgxioB,1,2016,5.49,17
B114F41DXPvAibaEXe9IFJLLU9DVVVLclcXgxioB,2,2016,4.13,19
B114F41DXPvAibaEXe9IFJLLU9DVVVLclcXgxioB,1,2017,5.95,22
B114F41DXPvAibaEXe9IFJLLU9DVVVLclcXgxioB,2,2017,6.66,21
B114F41DXPvAibaEXe9IFJLLU9DVVVLclcXgxioB,3,2017,7.2,3
B114F41DXPvAibaEXe9IFJLLU9DVVVLclcXgxioB,1,2018,5.92,20
70B995C7XPvAibaEXe9OORQ1xsw6nr2pvDW4NmxY,1,2016,8.06,13
70B995C7XPvAibaEXe9OORQ1xsw6nr2pvDW4NmxY,2,2016,8.21,17
70B995C7XPvAibaEXe9OORQ1xsw6nr2pvDW4NmxY,1,2017,8.4,23
70B995C7XPvAibaEXe9OORQ1xsw6nr2pvDW4NmxY,2,2017,7.43,18
70B995C7XPvAibaEXe9OORQ1xsw6nr2pvDW4NmxY,1,2018,8.19,14
8A28E60EXPvAibaEXe9OORQ1xsw6nv5CUStjJAu6,1,2016,6.39,15
8A28E60EXPvAibaEXe9OORQ1xsw6nv5CUStjJAu6,2,2016,6.81,18
8A28E60EXPvAibaEXe9OORQ1xsw6nv5CUStjJAu6,3,2016,7.3,3
8A28E60EXPvAibaEXe9OORQ1xsw6nv5CUStjJAu6,1,2017,6.49,22
8A28E60EXPvAibaEXe9OORQ1xsw6nv5CUStjJAu6,2,2017,6.8,22
8A28E60EXPvAibaEXe9OORQ1xsw6nv5CUStjJAu6,1,2018,7.25,20
896CE9CAXPvAibaEXe/agc6/owW5CMZVwqpzV2xw,1,2016,7.21,13
896CE9CAXPvAibaEXe/agc6/owW5CMZVwqpzV2xw,2,2016,7.28,24
896CE9CAXPvAibaEXe/agc6/owW5CMZVwqpzV2xw,1,2017,6.97,22
896CE9CAXPvAibaEXe/agc6/owW5CMZVwqpzV2xw,2,2017,6.53,24
896CE9CAXPvAibaEXe/agc6/owW5CMZVwqpzV2xw,1,2018,7.94,20
CACBD22AXPvAibaEXe/agc6/owW5CA2VUR30Kxql,1,2016,6.76,19
CACBD22AXPvAibaEXe/agc6/owW5CA2VUR30Kxql,2,2016,6.69,19
CACBD22AXPvAibaEXe/agc6/owW5CA2VUR30Kxql,1,2017,8.23,24
CACBD22AXPvAibaEXe/agc6/owW5CA2VUR30Kxql,2,2017,8.23,23
CACBD22AXPvAibaEXe/agc6/owW5CA2VUR30Kxql,1,2018,7.41,19
359C901EXPvAibaEXe/HQN1XeSL1BLJJHKbqsbhD,1,2016,6.97,13
359C901EXPvAibaEXe/HQN1XeSL1BLJJHKbqsbhD,2,2016,6.98,17
359C901EXPvAibaEXe/HQN1XeSL1BLJJHKbqsbhD,1,2017,8.34,17
359C901EXPvAibaEXe/HQN1XeSL1BLJJHKbqsbhD,2,2017,8.42,21
359C901EXPvAibaEXe/HQN1XeSL1BLJJHKbqsbhD,1,2018,7.87,19
7EF6A3EAXPvAibaEXe/HQN1XeSL1BEWlvhARqyCL,1,2016,8.81,19
7EF6A3EAXPvAibaEXe/HQN1XeSL1BEWlvhARqyCL,2,2016,7.43,15
7EF6A3EAXPvAibaEXe/HQN1XeSL1BEWlvhARqyCL,1,2017,8.59,20
7EF6A3EAXPvAibaEXe/HQN1XeSL1BEWlvhARqyCL,2,2017,8.21,17
7EF6A3EAXPvAibaEXe/HQN1XeSL1BEWlvhARqyCL,1,2018,6.97,18
630518E0XPvAibaEXe8UGNMJasZG8BIILT9LfCMb,1,2016,6.27,19
630518E0XPvAibaEXe8UGNMJasZG8BIILT9LfCMb,2,2016,6.42,19
630518E0XPvAibaEXe8UGNMJasZG8BIILT9LfCMb,1,2017,6.76,24
630518E0XPvAibaEXe8UGNMJasZG8BIILT9LfCMb,2,2017,7.25,22
630518E0XPvAibaEXe8UGNMJasZG8BIILT9LfCMb,1,2018,7.27,24
FB701925XPvAibaEXe//Z7+CGDQLoBEAU7nawcwv,1,2016,7.44,17
FB701925XPvAibaEXe//Z7+CGDQLoBEAU7nawcwv,2,2016,6.62,19
FB701925XPvAibaEXe//Z7+CGDQLoBEAU7nawcwv,1,2017,7.4,23
FB701925XPvAibaEXe//Z7+CGDQLoBEAU7nawcwv,2,2017,7.0,24
FB701925XPvAibaEXe//Z7+CGDQLoBEAU7nawcwv,1,2018,6.8,18
15A46F5AXPvAibaEXe//Z7+CGDQLoGJZlAbDnoO3,1,2016,8.3,17
15A46F5AXPvAibaEXe//Z7+CGDQLoGJZlAbDnoO3,2,2016,6.89,19
15A46F5AXPvAibaEXe//Z7+CGDQLoGJZlAbDnoO3,1,2017,8.46,23
15A46F5AXPvAibaEXe//Z7+CGDQLoGJZlAbDnoO3,2,2017,7.86,20
15A46F5AXPvAibaEXe//Z7+CGDQLoGJZlAbDnoO3,1,2018,7.41,14
7187D170XPvAibaEXe9xkK/YA3rY8BBJ0g/oZIh3,1,2016,6.39,17
7187D170XPvAibaEXe9xkK/YA3rY8BBJ0g/oZIh3,2,2016,7.03,19
7187D170XPvAibaEXe9xkK/YA3rY8BBJ0g/oZIh3,1,2017,7.57,24
7187D170XPvAibaEXe9xkK/YA3rY8BBJ0g/oZIh3,2,2017,7.76,23
7187D170XPvAibaEXe9xkK/YA3rY8BBJ0g/oZIh3,1,2018,6.48,15
6EF53EE6XPvAibaEXe/81GDNmtxKsWKpNmvVkP+G,1,2016,7.75,17
6EF53EE6XPvAibaEXe/81GDNmtxKsWKpNmvVkP+G,2,2016,6.82,19
6EF53EE6XPvAibaEXe/81GDNmtxKsWKpNmvVkP+G,1,2017,8.08,23
6EF53EE6XPvAibaEXe/81GDNmtxKsWKpNmvVkP+G,2,2017,7.52,23
6EF53EE6XPvAibaEXe/81GDNmtxKsWKpNmvVkP+G,1,2018,7.5,18
D4BC6C5FXPvAibaEXe/81GDNmtxKsf5uAQitOS6/,1,2016,6.1,19
