mssv,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,0.541,0.7070000000000001,0.775,0.636,0.8320000000000001,-1.0,0.786,0.8089999999999999,-1.0,0.692,0.78,-1.0,0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.81,0.76,0.76,0.75,0.75,0.91,0.77,0.71,0.64,0.7,0.7,0.7142857142857143,-1.0,-1.0,-1.0,-1.0
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,0.8310000000000001,0.8140000000000001,-1.0,0.701,0.787,-1.0,0.8039999999999999,0.889,-1.0,0.853,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,0.95,1.0,0.79,0.88,1.0,1.0,0.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,0.658,0.19,-1.0,0.716,0.333,0.38,0.11000000000000001,0.627,-1.0,0.522,0.493,-1.0,0.71,0.40700000000000003,-1.0,0.475,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.7,0.66,0.63,0.58,0.69,0.7,0.66,0.84,0.66,0.475,-1.0,-1.0,-1.0,-1.0,-1.0
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,0.499,0.442,-1.0,0.526,0.563,-1.0,0.363,0.254,-1.0,0.501,0.505,-1.0,0.425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.76,0.8,0.59,0.54,0.58,0.58,0.77,0.54,0.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna,0.8019999999999999,0.692,-1.0,0.8550000000000001,0.732,-1.0,0.825,0.8630000000000001,0.9400000000000001,0.8119999999999999,0.853,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.66,0.77,0.9,0.85,0.86,0.9,0.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,0.733,0.744,-1.0,0.729,0.735,-1.0,0.619,0.688,-1.0,0.7190000000000001,0.36,-1.0,0.714,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,1.0,0.85,0.85,0.72,0.95,0.83,0.76,0.84,0.74,0.6,-1.0,-1.0,-1.0,-1.0,-1.0
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,0.682,0.706,-1.0,0.773,0.742,-1.0,0.763,0.86,-1.0,0.844,0.727,-1.0,0.8099999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.77,0.77,0.74,0.84,0.68,0.64,0.78,0.8,0.75,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,0.635,0.659,0.8400000000000001,0.7150000000000001,0.729,-1.0,0.722,0.6980000000000001,-1.0,0.774,0.7769999999999999,-1.0,0.63,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.77,0.73,0.86,0.85,0.68,0.68,0.9,0.74,0.58,0.71,0.475,0.5584415584415584,0.1111111111111111,-1.0,-1.0,-1.0
007B0A19XPvAibaEXe/UEORkxzaGRmODz65jligT,0.782,0.708,-1.0,0.771,0.773,-1.0,0.697,0.674,-1.0,0.778,0.778,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.8,0.8,0.8,0.72,0.84,0.79,0.77,0.66,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,0.673,0.6519999999999999,-1.0,0.735,0.63,0.9,0.807,0.8160000000000001,0.85,0.6990000000000001,0.7190000000000001,-1.0,0.12,-1.0,-1.0,-1.0,0.47000000000000003,-1.0,-1.0,0.0,-1.0,-1.0,0.97,0.86,0.86,0.85,0.85,0.87,0.87,0.79,0.78,0.66,0.6875,0.7272727272727273,0.1111111111111111,-1.0,-1.0,-1.0
