mssv,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,5.41,7.07,7.75,6.36,8.32,-1.0,7.86,8.09,-1.0,6.92,7.8,-1.0,8.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.0,0.0,76.0,76.0,75.0,75.0,91.0,0.0,77.0,0.0,71.0,0.0,64.0,0.0,70.0,0.0
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,8.31,8.14,-1.0,7.01,7.87,-1.0,8.04,8.89,-1.0,8.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,0.0,95.0,0.0,100.0,0.0,79.0,0.0,88.0,0.0,100.0,100.0,86.0,-1.0,-1.0,-1.0
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,6.58,1.9,-1.0,7.16,3.33,3.8,1.1,6.27,-1.0,5.22,4.93,-1.0,7.1,4.07,-1.0,4.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,70.0,0.0,66.0,0.0,63.0,0.0,58.0,0.0,69.0,0.0,70.0,0.0,66.0,84.0
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,4.99,4.42,-1.0,5.26,5.63,-1.0,3.63,2.54,-1.0,5.01,5.05,-1.0,4.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.0,0.0,80.0,0.0,59.0,0.0,54.0,0.0,58.0,0.0,58.0,77.0,54.0,58.0,-1.0,-1.0
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna,8.02,6.92,-1.0,8.55,7.32,-1.0,8.25,8.63,9.4,8.12,8.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.0,0.0,77.0,0.0,90.0,0.0,85.0,0.0,86.0,0.0,90.0,0.0,96.0,0.0,-1.0,-1.0
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,7.33,7.44,-1.0,7.29,7.35,-1.0,6.19,6.88,-1.0,7.19,3.6,-1.0,7.14,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,100.0,0.0,85.0,0.0,85.0,0.0,72.0,0.0,95.0,0.0,83.0,0.0,76.0,84.0
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,6.82,7.06,-1.0,7.73,7.42,-1.0,7.63,8.6,-1.0,8.44,7.27,-1.0,8.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.0,77.0,74.0,0.0,84.0,0.0,68.0,0.0,64.0,0.0,78.0,0.0,80.0,0.0,75.0,0.0
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,6.35,6.59,8.4,7.15,7.29,-1.0,7.22,6.98,-1.0,7.74,7.77,-1.0,6.3,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.0,0.0,73.0,0.0,86.0,0.0,85.0,0.0,68.0,0.0,68.0,0.0,90.0,0.0,74.0,0.0
007B0A19XPvAibaEXe/UEORkxzaGRmODz65jligT,7.82,7.08,-1.0,7.71,7.73,-1.0,6.97,6.74,-1.0,7.78,7.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,80.0,0.0,80.0,0.0,80.0,0.0,72.0,0.0,84.0,0.0,79.0,0.0,77.0,66.0
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,6.73,6.52,-1.0,7.35,6.3,9.0,8.07,8.16,8.5,6.99,7.19,-1.0,1.2,-1.0,-1.0,-1.0,4.7,-1.0,-1.0,0.0,-1.0,-1.0,97.0,0.0,86.0,86.0,85.0,85.0,87.0,87.0,79.0,0.0,78.0,0.0,66.0,0.0,75.0,0.0
