mssv,diem_tt,OTHER,THPT,ĐGNL,hedt_CLC,hedt_CNTN,hedt_CQUI,hedt_CTTT,hedt_KSTN,khoa_CNPM,khoa_HTTT,khoa_KHMT,khoa_KTMT,khoa_KTTT,khoa_MMT&TT,chuyennganh2_7340122_CLC,chuyennganh2_7340122_CQ,chuyennganh2_7480101_CLC,chuyennganh2_7480101_CQ,chuyennganh2_7480101_CTTN,chuyennganh2_7480102_CLC,chuyennganh2_7480102_CQ,chuyennganh2_7480103_CLC,chuyennganh2_7480103_CQ,chuyennganh2_7480104_CLC,chuyennganh2_7480104_CQ,chuyennganh2_7480104_CTTT,chuyennganh2_7480106_CLC,chuyennganh2_7480106_CQ,chuyennganh2_7480109_CQ,chuyennganh2_7480201_CLC,chuyennganh2_7480201_CQ,chuyennganh2_7480202_CLC,chuyennganh2_7480202_CQ,chuyennganh2_7480202_CTTN,noisinh_0,noisinh_1,noisinh_2,noisinh_3,noisinh_4,noisinh_5,noisinh_6,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16,label
BAF446BFXPvAibaEXe879+AOg1gh8uQrEauqA0AG,25.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.48,5.6,8.0,6.84,6.19,-1.0,7.91,8.11,-1.0,7.36,7.88,-1.0,7.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.0,0.0,64.0,64.0,72.0,72.0,71.0,0.0,84.0,0.0,77.0,0.0,67.0,0.0,68.0,0.0,1
599DFFB8XPvAibaEXe879+AOg1gh8lJvChSN7o+V,28.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.2,4.74,-1.0,1.91,3.92,6.65,6.79,5.26,-1.0,5.27,5.48,0.0,0.92,0.0,-1.0,3.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.0,0.0,59.0,59.0,43.0,43.0,24.0,0.0,69.0,0.0,52.0,0.0,66.0,0.0,64.0,0.0,3
364B9E9BXPvAibaEXe879+AOg1gh8sRVdBmZSiXe,24.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8,7.45,7.43,7.34,8.69,-1.0,7.94,8.11,-1.0,8.6,8.21,-1.0,8.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,100.0,100.0,97.0,97.0,100.0,0.0,99.0,0.0,90.0,0.0,66.0,0.0,75.0,0.0,0
BBAD4F2BXPvAibaEXe879+AOg1gh8vGaQYZ3wJAR,29.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.45,7.86,-1.0,8.62,8.5,-1.0,8.68,8.48,-1.0,9.07,9.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96.0,0.0,92.0,92.0,100.0,100.0,82.0,0.0,100.0,0.0,85.0,0.0,80.0,0.0,75.0,0.0,0
88C15831XPvAibaEXe879+AOg1gh8uMWWp9sXQnJ,26.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.2,7.52,-1.0,7.33,6.96,-1.0,7.64,8.14,-1.0,7.13,7.79,-1.0,9.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.0,0.0,74.0,74.0,59.0,59.0,74.0,0.0,82.0,0.0,74.0,0.0,75.0,0.0,76.0,0.0,1
FC77E598XPvAibaEXe879+AOg1gh8pb/q8KzJ2A3,34.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.34,8.36,-1.0,8.35,8.28,-1.0,8.48,7.86,8.5,7.87,7.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95.0,0.0,91.0,91.0,94.0,94.0,100.0,100.0,86.0,0.0,87.0,0.0,68.0,0.0,79.0,0.0,0
9E9A38AEXPvAibaEXe879+AOg1gh8jBg5Ccj9ksF,23.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.06,5.81,6.29,6.37,6.32,5.1,6.37,7.28,-1.0,6.57,6.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,88.0,88.0,88.0,88.0,96.0,96.0,86.0,0.0,82.0,0.0,79.0,0.0,64.0,0.0,2
140E6C4CXPvAibaEXe/asAVnWDRS7Te/6FHN3JZ9,26.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.33,4.05,7.5,5.74,4.08,-1.0,5.35,4.29,7.7,6.14,5.52,3.6,3.79,6.6,8.3,6.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.0,0.0,47.0,47.0,57.0,57.0,57.0,0.0,49.0,0.0,53.0,0.0,64.0,0.0,58.0,0.0,2
A6EA9F79XPvAibaEXe/asAVnWDRS7dXIHpGvggPH,23.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.92,4.92,6.0,5.76,5.2,8.2,6.49,7.32,10.0,8.28,7.86,-1.0,8.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.0,0.0,74.0,74.0,100.0,100.0,58.0,0.0,100.0,0.0,74.0,0.0,76.0,0.0,73.0,0.0,1
F9AD085CXPvAibaEXe/asAVnWDRS7ejs/e1rGnUq,26.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.41,4.68,-1.0,7.69,7.06,-1.0,6.73,7.15,7.7,7.54,7.53,-1.0,8.55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.0,0.0,82.0,82.0,86.0,86.0,80.0,0.0,76.0,0.0,71.0,0.0,64.0,0.0,75.0,0.0,1
