mssv,hocky,namhoc,dtbhk,sotchk
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,1,2018,8.85,17
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,2,2018,8.64,20
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,1,2019,8.41,15
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,2,2019,8.05,20
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,1,2020,7.46,20
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,2,2020,7.28,19
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,1,2021,8.55,15
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,2,2021,7.24,10
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,1,2017,6.58,16
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,2,2017,1.9,20
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,1,2018,7.16,14
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,2,2018,3.33,18
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,3,2018,3.8,4
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,1,2019,1.1,8
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,2,2019,6.27,12
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,1,2020,5.22,24
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,2,2020,4.93,21
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,1,2021,7.1,23
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,2,2021,4.07,20
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,1,2022,4.75,24
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,1,2018,4.99,20
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,2,2018,4.42,23
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,1,2019,5.26,17
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,2,2019,5.63,15
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,1,2020,3.63,23
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,2,2020,2.54,15
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,1,2021,5.01,13
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,2,2021,5.05,20
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,1,2022,4.25,21
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,1,2018,6.86,20
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,2,2018,5.51,18
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,1,2019,4.85,23
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,2,2019,4.58,19
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,1,2020,3.69,23
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,2,2020,0.0,10
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,1,2017,4.16,16
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,2,2017,2.7,20
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,3,2017,5.43,7
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,1,2018,3.53,16
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,2,2018,0.92,10
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,3,2018,6.2,4
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,1,2019,2.96,13
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,2,2019,1.21,17
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,1,2014,5.15,13
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,2,2014,4.26,14
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,3,2014,2.06,7
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,1,2015,5.7,24
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,2,2015,3.32,26
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,1,2016,3.89,28
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,2,2016,3.9,12
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,3,2016,0.1,8
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,1,2017,8.61,20
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,2,2017,8.6,20
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,1,2018,8.11,19
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,2,2018,8.92,22
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,1,2019,6.1,20
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,2,2019,8.72,10
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,1,2020,7.28,16
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,2,2020,5.66,10
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,1,2021,0.0,2
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,1,2017,6.87,20
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,2,2017,4.14,22
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,1,2018,3.25,15
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,2,2018,4.93,16
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,1,2019,2.2,12
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,2,2019,3.34,14
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,1,2013,6.73,22
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,2,2013,6.52,21
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,1,2014,7.35,24
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,2,2014,6.3,17
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,3,2014,9.0,3
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,1,2015,8.07,15
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,2,2015,8.16,14
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,3,2015,8.5,3
