mssv,hocky,namhoc,dtbhk,sotchk
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,1,2016,6.45,13
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,2,2016,5.86,17
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,1,2017,6.54,16
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,2,2017,5.67,23
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,1,2018,2.27,21
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,1,2016,8.19,12
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,2,2016,7.95,13
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,3,2016,7.63,6
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,1,2017,8.38,20
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,2,2017,8.41,20
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,1,2018,8.0,17
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,1,2016,4.73,17
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,2,2016,1.79,15
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,1,2017,4.02,20
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,2,2017,3.89,20
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,3,2017,6.15,8
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,1,2018,4.3,21
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,1,2016,7.44,17
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,2,2016,7.51,17
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,1,2018,7.24,17
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,1,2016,6.89,17
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,2,2016,5.85,21
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,1,2017,7.3,23
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,2,2017,6.86,19
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,1,2018,7.55,18
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1,2016,7.86,19
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,2,2016,6.76,19
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1,2017,7.62,24
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,2,2017,7.25,19
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1,2018,5.95,19
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1,2016,7.18,19
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,2,2016,5.66,19
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1,2017,5.64,24
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,2,2017,6.33,22
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1,2018,4.58,15
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,1,2016,7.38,17
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,2,2016,5.17,19
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,1,2017,6.63,22
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,2,2017,6.69,22
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,1,2018,5.83,15
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,1,2016,8.32,17
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,2,2016,5.82,19
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,1,2017,4.83,24
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,2,2017,3.45,23
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,3,2017,0.0,4
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,1,2018,5.19,20
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1,2016,5.78,17
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,2,2016,6.16,19
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1,2017,7.97,24
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,2,2017,7.74,20
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,3,2017,8.53,7
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1,2018,7.3,21
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1,2016,7.31,12
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,2,2016,7.47,13
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,3,2016,7.63,6
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1,2017,7.79,23
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,2,2017,8.06,20
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1,2018,8.1,17
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,1,2016,7.21,17
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,2,2016,6.24,21
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,1,2017,7.7,23
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,2,2017,5.65,22
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,1,2018,5.8,22
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,1,2016,8.12,17
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,2,2016,7.95,21
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,1,2017,8.28,21
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,2,2017,8.32,20
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,1,2018,7.68,18
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1,2016,8.3,19
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,2,2016,7.67,15
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1,2017,8.57,21
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,2,2017,7.58,17
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1,2018,7.09,17
A34A5122XPvAibaEXe8SRUt3BATKgUdpn4Nf+Cwx,1,2016,5.95,19
A34A5122XPvAibaEXe8SRUt3BATKgUdpn4Nf+Cwx,2,2016,4.89,18
152920E2XPvAibaEXe8SRUt3BATKgareMyi/MAyS,1,2016,4.75,19
152920E2XPvAibaEXe8SRUt3BATKgareMyi/MAyS,2,2016,0.0,0
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,1,2016,7.79,17
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,2,2016,7.14,17
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,1,2017,7.95,21
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,2,2017,7.33,20
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,1,2018,7.02,18
C525BEB8XPvAibaEXe8SnnwrtS3HXFn8EPKpfV2M,1,2016,0.0,7
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1,2016,7.71,17
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,2,2016,5.0,19
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1,2017,8.16,24
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,2,2017,7.24,21
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1,2018,7.43,18
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,1,2016,7.49,17
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,2,2016,6.17,19
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,1,2017,6.27,24
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,2,2017,7.45,24
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,1,2018,7.47,24
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,1,2016,7.61,17
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,2,2016,5.69,21
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,1,2017,5.67,22
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,2,2017,5.78,21
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,1,2018,3.13,19
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,1,2016,3.75,19
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,2,2016,0.46,19
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,1,2017,4.6,22
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,2,2017,0.28,13
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,1,2016,6.99,17
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,2,2016,6.99,15
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,1,2017,6.92,22
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,2,2017,7.41,24
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,1,2018,7.78,16
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,1,2016,7.31,17
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,2,2016,5.86,19
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,1,2017,8.18,22
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,2,2017,8.25,23
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,1,2018,7.74,17
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1,2016,5.79,15
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,2,2016,6.07,15
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,3,2016,5.8,4
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1,2017,6.05,23
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,2,2017,6.52,24
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1,2018,5.86,20
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1,2016,8.62,13
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,2,2016,8.24,17
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1,2017,7.81,24
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,2,2017,8.19,21
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1,2018,7.5,22
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1,2016,7.06,17
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,2,2016,6.78,21
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1,2017,7.41,24
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,2,2017,7.25,20
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1,2018,6.46,17
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,1,2016,7.02,19
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,2,2016,5.17,15
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,1,2017,5.91,24
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,2,2017,5.51,18
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,1,2018,4.91,16
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1,2016,7.74,19
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,2,2016,7.86,21
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1,2017,8.3,20
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,2,2017,7.75,19
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1,2018,9.11,15
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,1,2016,4.74,19
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,2,2016,0.81,11
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,3,2016,5.13,7
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,1,2017,4.94,18
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,2,2017,4.77,23
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,1,2018,0.45,23
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,1,2016,8.04,17
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,2,2016,7.23,21
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,1,2017,8.14,24
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,2,2017,7.72,22
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,1,2018,7.96,18
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,1,2016,6.12,19
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,2,2016,5.83,15
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,1,2017,7.13,24
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,2,2017,7.55,17
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,1,2018,5.44,14
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1,2016,6.95,13
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,2,2016,7.61,17
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,3,2016,8.0,3
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1,2017,7.7,23
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,2,2017,8.03,20
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1,2018,7.2,16
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,1,2016,5.64,19
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,2,2016,6.02,17
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,1,2017,6.61,24
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,2,2017,7.27,19
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,1,2018,7.62,18
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,1,2016,6.95,15
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,2,2016,6.0,15
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,1,2017,8.08,24
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,2,2017,7.28,23
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,1,2018,8.31,15
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1,2016,8.14,17
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,2,2016,7.46,19
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1,2017,7.47,22
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,2,2017,7.09,23
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1,2018,6.95,17
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,1,2016,7.72,17
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,2,2016,7.26,19
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,1,2017,6.54,22
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,2,2017,7.03,21
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,1,2018,7.5,18
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,1,2016,6.54,17
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,2,2016,3.56,21
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,1,2017,2.77,15
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,2,2017,3.86,15
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,1,2018,4.07,18
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1,2016,8.73,15
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,2,2016,7.89,17
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1,2017,8.53,20
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,2,2017,7.86,19
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1,2018,8.83,15
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1,2016,6.42,15
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,2,2016,6.32,17
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1,2017,6.68,20
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,2,2017,6.69,17
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1,2018,7.1,12
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,1,2016,6.91,19
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,2,2016,4.73,19
