mssv,hocky,namhoc,dtbhk,sotchk
966ECEF8XPvAibaEXe8qDEUV6uDVhJ2/WG4XnX1V,1,2020,8.31,8
86D6879BXPvAibaEXe8qDEUV6uDVhJ1eG7O4gpnX,1,2020,7.59,8
4BBDD5E1XPvAibaEXe8qDEUV6uDVhIqFnP4FjCpb,1,2020,8.66,8
DAE71EE4XPvAibaEXe8qDEUV6uDVhKLQmm+cSQRS,1,2020,9.0,8
444EFC36XPvAibaEXe8qDEUV6uDVhID3fjJcbm5Z,1,2020,7.51,8
98383EBFXPvAibaEXe8qDEUV6uDVhGyHSNhSJzCd,1,2020,8.65,8
D0173A4BXPvAibaEXe8qDEUV6uDVhIm/8iz7YdIN,1,2020,0.0,8
168F31BEXPvAibaEXe9ZXP7qFXYGxrDL3mE7Rsyy,1,2020,9.0,8
F3A15C4EXPvAibaEXe9ZXP7qFXYGxi7inaH0EmjB,1,2020,2.66,8
94C0FA4BXPvAibaEXe9ZXP7qFXYGxqPEO6VCFg90,1,2020,7.09,8
2BA2D772XPvAibaEXe9ZXP7qFXYGxrRnissfmfkX,1,2020,8.83,8
954610B1XPvAibaEXe9ZXP7qFXYGxln7/Dy88gDz,1,2020,9.33,8
2B92FA0BXPvAibaEXe9ZXP7qFXYGxpZZA52DSsGL,1,2020,8.74,8
2381FAACXPvAibaEXe8tXyBsTE/W1QufBSU4pUy+,1,2020,7.59,8
84066708XPvAibaEXe8tXyBsTE/W1fhRp2q74n+Q,1,2020,5.34,8
5D28B059XPvAibaEXe8tXyBsTE/W1d4YHqr9g+eh,1,2020,8.36,8
B11A003AXPvAibaEXe8tXyBsTE/W1UyxUUtxIBO2,1,2020,8.84,8
D493C96CXPvAibaEXe8tXyBsTE/W1VpcOWcpP7Lc,1,2020,7.79,8
FFD2372EXPvAibaEXe8tXyBsTE/W1bzX4YgM95x6,1,2020,9.01,8
F8D41F8DXPvAibaEXe8tXyBsTE/W1SVaaKvLjrnr,1,2020,8.65,8
8B9D1313XPvAibaEXe8HrHoULBseZ/N/7msJNkYO,1,2020,8.93,8
BFFC7345XPvAibaEXe8HrHoULBseZ/osZcu/GvbF,1,2020,7.59,8
B71B3C5AXPvAibaEXe8HrHoULBseZ3QPDwqxVLH8,1,2020,8.29,8
5E7DDB58XPvAibaEXe8HrHoULBseZ9HZUzKGyMz8,1,2020,8.73,8
96B2C4E5XPvAibaEXe82NO/soieFB2A1nHdE/Byw,1,2020,6.06,14
68A477D8XPvAibaEXe82NO/soieFB7iOKLFgRWOu,1,2020,8.51,18
6CFD6EEAXPvAibaEXe82NO/soieFB976jbnjR/co,1,2020,7.04,16
1DBBC93EXPvAibaEXe82NO/soieFBxEVFT4imGf2,1,2020,8.94,12
74D48B59XPvAibaEXe+JbMLet4/UAXp+J+oKZOZe,1,2020,8.41,18
400D3771XPvAibaEXe+JbMLet4/UAcEU15l2p5wN,1,2020,8.43,14
400D3771XPvAibaEXe+JbMLet4/UAcEU15l2p5wN,2,2020,7.47,19
CA42E098XPvAibaEXe+JbMLet4/UAfato3KlLS2Y,1,2020,8.93,14
8F0602CEXPvAibaEXe+JbMLet4/UAbY7bvuEttuM,1,2020,9.38,18
98E22415XPvAibaEXe/ly4CLNSveRHveNcqecAe/,1,2020,0.17,12
04C81950XPvAibaEXe/ly4CLNSveRDKW02PJnm/0,1,2020,8.82,18
14497BCEXPvAibaEXe/ly4CLNSveRIKJpr/Dm14e,1,2020,8.05,20
595BD34BXPvAibaEXe+6RO6XPmI8NF2BUlKtjBM0,1,2020,9.24,14
20706E86XPvAibaEXe+6RO6XPmI8NII2SsslzoFU,1,2020,9.18,14
6C8F298BXPvAibaEXe+6RO6XPmI8NH/MEPI9bVD9,1,2020,8.91,18
57847517XPvAibaEXe8xAy6my/6oJSjZJX8Qer05,1,2020,8.01,18
95EB9B7BXPvAibaEXe8xAy6my/6oJeHNtyA9Iyce,1,2020,8.51,18
69463C0BXPvAibaEXe/pMmb/AhS2LSKdRcUgK2qo,1,2020,7.2,16
7E4A756DXPvAibaEXe88Y6PjH0XgHcBO1MM5sAR7,1,2020,7.63,16
EB72E11CXPvAibaEXe8T4RHts6jRYzmSKs7/8HeM,1,2020,6.83,15
0BF68249XPvAibaEXe8T4RHts6jRY2DkooBmXYBN,1,2020,6.93,14
64F1F80AXPvAibaEXe8T4RHts6jRY9/McEfatZZb,1,2020,7.71,19
17650F32XPvAibaEXe8T4RHts6jRY7pQ2BGB4iQ+,1,2020,7.01,20
5279AC39XPvAibaEXe/8fhf6rXR0n9zWt0Td90oi,1,2020,7.36,16
2EB908FEXPvAibaEXe/8fhf6rXR0n3w9SBs8TxBt,1,2020,7.81,16
D424A334XPvAibaEXe/8fhf6rXR0n4MUz2V7a0YA,1,2020,8.21,16
AA3A5533XPvAibaEXe/8fhf6rXR0n7heUQRreW/U,1,2020,8.77,18
EB2391C4XPvAibaEXe/8fhf6rXR0nwCNSEjPxs0k,1,2020,8.45,20
35FBD1EAXPvAibaEXe/8fhf6rXR0n5naX1jg3n7S,1,2020,7.97,16
58AB7948XPvAibaEXe+kZ0usiWMt+ogztKTGzXv1,1,2020,8.01,20
7B708B18XPvAibaEXe+kZ0usiWMt+qvSMNn/0Adz,1,2020,8.66,16
EAB3A748XPvAibaEXe+kZ0usiWMt+jWV+UskTyKS,1,2020,9.13,16
333E51C8XPvAibaEXe+kZ0usiWMt+kO2NfCxh5R1,1,2020,7.15,17
7E48816EXPvAibaEXe+kZ0usiWMt+qx7MD5HcZix,1,2020,7.76,18
686F3782XPvAibaEXe+kZ0usiWMt+uoo98hna70m,1,2020,8.02,20
D7E3D052XPvAibaEXe9DbnTSd1n0lhWE+3aCNAgq,1,2020,8.35,19
00D77BF9XPvAibaEXe9DbnTSd1n0lpNsn3oiK7Z0,1,2020,8.12,19
A19477CCXPvAibaEXe9DbnTSd1n0lllHY5Yih55m,1,2020,8.64,14
BCE6DD23XPvAibaEXe9DbnTSd1n0lr5qABXKl3AF,1,2020,7.89,19
F1BCC7F1XPvAibaEXe/KIviHIwoJTm4VG4Z7fAQf,1,2020,9.08,19
404C1566XPvAibaEXe/KIviHIwoJTjrm8zD6DN/R,1,2020,7.98,12
974AD50DXPvAibaEXe/KIviHIwoJTnr7ky0jYW8Q,1,2020,8.48,16
4F4E62F3XPvAibaEXe9QtbUU7TEFhG0xo3vgu2Z7,1,2020,6.99,19
4F4E62F3XPvAibaEXe9QtbUU7TEFhG0xo3vgu2Z7,2,2020,5.58,16
C5FF8532XPvAibaEXe9QtbUU7TEFhK//CQGbkR1X,1,2020,8.78,16
77F4B087XPvAibaEXe9QtbUU7TEFhMf6Hzppu0kp,1,2020,8.67,12
7D7C4862XPvAibaEXe9QtbUU7TEFhAYI81ViiUeX,1,2020,5.31,16
A036AC36XPvAibaEXe9QtbUU7TEFhGnir6kHpqOV,1,2020,6.57,19
23EA57DDXPvAibaEXe/+o3BBeRzaONu+wGW+MSsa,1,2020,8.83,19
DBEAAF30XPvAibaEXe/+o3BBeRzaOMBLzM5GSGYJ,1,2020,9.08,16
3F251027XPvAibaEXe/+o3BBeRzaOCwzWfdy2R46,1,2020,8.23,16
71BED6DCXPvAibaEXe/+o3BBeRzaOJ56RqFWzEdM,1,2020,8.52,14
B32865D0XPvAibaEXe8pBAtgtLnX/WCJJRJFbIwU,1,2020,9.03,14
B1522DC4XPvAibaEXe8pBAtgtLnX/WuS1cY4Xz0j,1,2020,7.14,20
